Species,Size,Aggregation,Position,Diet
A_chinensis,S5,Solitary,BenthoP,P
A_dussumieri,S5,Group,BenthoP,G
A_maculatus,S2,Solitary,BenthoP,I
A_neoguinaicus,S3,Group,BenthoP,I
A_nigrofuscus,S3,Group,BenthoP,G
A_strigatus,S3,Group,BenthoP,PK
A_viridis,S6,Solitary,BenthoP,I
C_caerulaurea,S4,Group,Benthic,PK
C_cephalotes,S4,Solitary,BenthoP,I
C_dorsomacula,S4,Solitary,BenthoP,I
C_guentheri,S3,Solitary,BenthoP,O
C_kleinii,S2,Pair,BenthoP,O
C_lophodon,S4,Solitary,Benthic,B
C_picta,S3,Solitary,BenthoP,I
C_vestitus,S4,Solitary,BenthoP,I
D_punctulatus,S4,Solitary,BenthoP,I
E_armatus,S4,Group,BenthoP,I
G_elevata,S5,Group,BenthoP,B
H_annulatus,S4,Solitary,BenthoP,P
H_hortulanus,S3,Solitary,BenthoP,I
H_margaritaceus,S2,Solitary,BenthoP,I
K_sydneyanus,S5,Group,BenthoP,B
L_cyanopleura,S2,Group,BenthoP,PK
L_dimidiatus,S2,Solitary,BenthoP,I
M_fuscus,S5,Solitary,Benthic,I
M_vanicolensis,S4,Group,BenthoP,I
N_gymnogenis,S3,Solitary,BenthoP,I
N_unicornis,S5,Solitary,BenthoP,B
O_lineolata,S4,Solitary,BenthoP,I
P_affinis,S2,Group,BenthoP,PK
P_flavomaculatus,S5,Solitary,BenthoP,P
P_guentheri,S3,Solitary,BenthoP,I
P_hepatus,S4,Solitary,BenthoP,O
P_laticlavius,S3,Solitary,BenthoP,I
P_luculentus,S3,Solitary,BenthoP,I
P_maculatus,S4,Group,BenthoP,G
P_microlepidotus,S5,Group,BenthoP,G
P_oligolepis,S3,Solitary,BenthoP,HD
P_spilurus,S4,Solitary,BenthoP,I
P_unifasciata,S3,Solitary,BenthoP,HD
P_xanthura,S4,Group,Pelagic,PK
R_sarba,S5,Group,BenthoP,I
S_apicalis,S2,Solitary,BenthoP,G
S_chrysopterus,S3,Solitary,BenthoP,I
S_gascoynei,S4,Group,BenthoP,B
S_ghobban,S2,Solitary,BenthoP,G
S_lineolata,S5,Solitary,BenthoP,B
S_nebulosus,S3,Group,Benthic,PK
T_jansenii,S3,Group,BenthoP,I
T_lunare,S4,Solitary,BenthoP,I
T_lutescens,S3,Group,BenthoP,I
