Species,Thermal_affinity_min,Thermal_affinity_max
A_chinensis,19.9,30.8
A_dussumieri,17.4,31.1
A_maculatus,13.3,24.6
A_neoguinaicus,19.1,29.8
A_nigrofuscus,20.1,30.8
A_strigatus,14.1,24.6
A_viridis,14.7,24.6
C_caerulaurea,21,31.4
C_cephalotes,18.2,30.5
C_dorsomacula,16.2,29
C_guentheri,16,26.2
C_kleinii,19.9,31.4
C_lophodon,14.1,23.2
C_picta,15.3,25.2
C_vestitus,15.3,27.2
D_punctulatus,15.3,25.6
E_armatus,12,24.6
G_elevata,12.6,24.9
H_annulatus,19.3,31.3
H_hortulanus,22.7,31.2
H_margaritaceus,19.3,29.8
K_sydneyanus,13.3,24.9
L_cyanopleura,16.2,31.3
L_dimidiatus,17.4,31.2
M_fuscus,15.2,24.6
M_vanicolensis,19.9,30.8
N_gymnogenis,14.1,25.1
N_unicornis,17.4,30.9
O_lineolata,13,24.6
P_affinis,15.3,25.6
P_flavomaculatus,17.8,30.4
P_guentheri,15.4,28.4
P_hepatus,19.9,30.7
P_laticlavius,10.8,23.2
P_luculentus,15.3,25.3
P_maculatus,16.1,25.4
P_microlepidotus,15.4,26
P_oligolepis,18.4,24.2
P_spilurus,15.3,25.6
P_unifasciata,15.6,25.6
P_xanthura,16.6,32.3
R_sarba,15.3,26.9
S_apicalis,19.8,30.2
S_chrysopterus,19.1,31.2
S_gascoynei,18.7,27.7
S_ghobban,18.5,31.2
S_lineolata,13,25.2
S_nebulosus,16.2,31.2
T_jansenii,19.8,31.3
T_lunare,16.2,31.2
T_lutescens,18.5,29.6
