,Thermal_affinity_min,Thermal_affinity_max
A_ocellatus,15.2,24.6
A_australis,15.3,25.2
A_viridis,14.7,24.6
A_caeruleopunctatus,17.9,30.9
A_neoguinaicus,19.1,29.8
A_limenus,15.4,26.2
A_atelodus,18.9,24.1
A_strigatus,14.1,24.6
A_maculatus,13.3,24.6
B_frenchii,16.5,23.2
B_perditio,16.2,28.2
B_waddi,15.6,24.8
C_callisterna,15.3,25.6
C_melampygus,23.5,31.1
C_sexfasciatus,19.5,31.5
C_taurus,15.3,28.2
C_australis,15.5,26.1
C_flavirostris,17.8,29.2
C_guentheri,16,26.2
C_truncatus,15.3,24.6
C_venustus,21.5,32.2
C_auratus,15.3,25.2
C_hypsilepis,14.7,25.2
C_weberi,22,31.4
C_punctatus,16.2,30.4
C_aprinus,16.2,27
C_aygula,20,30.6
C_dorsomacula,16.2,29
C_picta,15.3,25.2
D_brevicaudata,15.3,24.9
D_thetidis,15.3,24.9
D_punctulatus,15.3,25.6
D_lewini,11.4,23.5
E_naucrates,19.5,31.2
E_armatus,12,24.6
E_cyanopodus,15.3,24.9
E_daemelii,15.3,25.6
E_fasciatus,20,31.5
E_undulatostriatus,16.2,24.6
E_mosaicus,13.1,24.6
E_angustipes,13,24.6
G_elevata,12.6,24.9
G_scapulare,18.9,24.1
G_speciosus,21.5,31.8
G_vestitus,15.3,27.2
G_prasinus,14.4,24.6
G_prionodon,16.2,24.9
G_thyrsoidea,18,31.3
H_nebulosus,16.3,31.3
H_acuminatus,19.1,31.7
H_maccullochi,14.7,24.6
K_sydneyanus,13.3,24.9
L_dimidiatus,17.4,31.2
L_adetii,22,31.6
L_fulviflamma,20.1,31.3
L_russelli,17.9,31.1
M_immaculatus,15.3,24.6
M_freycineti,11.6,24
M_scaber,12,21.6
M_trachylepis,15.3,24.6
M_strigatus,15.3,29
M_fuscus,15.2,24.6
M_australis,12.1,23.8
N_ayraudi,20.6,31.6
N_douglasii,13,23.8
N_gymnogenis,14.1,25.1
O_lineolata,13,24.6
O_halei,15.3,27
O_maculatus,15.3,26.2
P_xanthura,16.6,32.3
P_ramsayi,15.8,24.6
P_striticeps,16.2,27.8
P_bleekeri,15.3,23.2
P_unifasciata,15.6,25.6
P_multifasciatus,20,31.2
P_spilurus,15.3,25.6
P_affinis,15.3,25.6
P_compressa,15.3,23.6
P_tapeinosoma,15.8,30.4
P_coelestis,16.1,31.2
P_maculatus,16.1,25.4
P_microlepidotus,15.4,26
P_dentex,14.1,25.3
P_guentheri,15.4,28.4
P_luculentus,15.3,25.3
P_digramma,20.1,31.2
R_canadum,17.3,30.5
R_sarba,15.3,26.9
S_australis,15.3,24.6
S_scalaripinnis,15.3,25.2
S_cardinalis,14.7,25.5
S_lineolata,13,25.2
S_dumerili,10.4,29.6
S_hippos,15.9,24.5
S_lalandi,15,26.2
S_nigrofasciata,15.9,24.5
S_rivoliana,18.4,30
S_fuscensens,16.2,31.2
S_jaculum,15.9,31.2
T_lunare,16.2,31.2
T_lutescens,18.5,29.6
T_taeniatus,15.2,25.2
T_novaezelandiae,14.1,23.9
T_macracanthus,18.4,24.9
U_lineatus,14.7,24.6
Z_cornutus,18.4,31.2
