"Species","Size","Aggr","Posi","Diet","Thermal_affinity_min","Thermal_affinity_max"
"A_bengalensis","S3","Solitary","BenthoP","O",17.4,31.5
"A_ocellatus","S4","Solitary","Benthic","P",15.2,24.6
"A_australis","S5","Group","BenthoP","O",15.3,25.2
"A_dussumieri","S5","Group","BenthoP","G",17.4,31.1
"A_viridis","S6","Solitary","BenthoP","I",14.7,24.6
"A_narinari","S6","Solitary","BenthoP","I",20,31
"A_monoceros","S5","Solitary","BenthoP","I",20.6,31.6
"A_caeruleopunctatus","S4","Solitary","BenthoP","I",17.9,30.9
"A_lophodon","S4","Solitary","Benthic","B",14.1,23.2
"A_limenus","S2","Group","BenthoP","I",15.4,26.2
"A_strigatus","S3","Group","BenthoP","PK",14.1,24.6
"A_chinensis","S5","Solitary","BenthoP","P",19.9,30.8
"A_maculatus","S2","Solitary","BenthoP","I",13.3,24.6
"B_frenchii","S4","Solitary","BenthoP","I",16.5,23.2
"B_perditio","S5","Solitary","BenthoP","I",16.2,28.2
"B_waddi","S6","Solitary","Benthic","I",15.6,24.8
"C_callisterna","S3","Solitary","BenthoP","I",15.3,25.6
"C_taurus","S6","Solitary","BenthoP","P",15.3,28.2
"C_australis","S2","Solitary","Benthic","I",15.5,26.1
"C_tibicen","S3","Group","BenthoP","HD",19.1,31.1
"C_flavirostris","S3","Pair","BenthoP","O",17.8,29.2
"C_guentheri","S3","Solitary","BenthoP","O",16,26.2
"C_truncatus","S3","Pair","BenthoP","O",15.3,24.6
"C_venustus","S5","Solitary","BenthoP","I",21.5,32.2
"C_auratus","S6","Group","BenthoP","I",15.3,25.2
"C_hypsilepis","S3","Group","BenthoP","PK",14.7,25.2
"C_dorsomacula","S4","Solitary","BenthoP","I",16.2,29
"C_picta","S3","Solitary","BenthoP","I",15.3,25.2
"D_brevicaudata","S6","Group","Benthic","I",15.3,24.9
"D_lewini","S6","Group","BenthoP","P",11.4,23.5
"E_naucrates","S6","Solitary","BenthoP","I",19.5,31.2
"E_armatus","S4","Group","BenthoP","I",12,24.6
"E_daemelii","S6","Solitary","BenthoP","P",15.6,25.5
"E_fasciatus","S4","Solitary","BenthoP","P",20,31.5
"E_undulatostriatus","S5","Solitary","BenthoP","P",16.2,24.6
"E_mosaicus","S5","Solitary","BenthoP","I",13.1,24.6
"E_angustipes","S2","Solitary","BenthoP","I",13,24.6
"G_scapulare","S5","Group","BenthoP","P",18.9,24.1
"G_vestitus","S4","Solitary","BenthoP","I",15.3,27.2
"G_prasinus","S6","Solitary","Benthic","P",14.4,24.6
"G_prionodon","S6","Solitary","Benthic","P",16.2,24.9
"G_thyrsoidea","S5","Pair","Benthic","P",18,31.3
"H_acuminatus","S3","Pair","BenthoP","PK",19.1,31.7
"H_galeatus","S3","Solitary","Benthic","I",15.3,24.6
"H_maccullochi","S6","Solitary","BenthoP","I",14.7,24.6
"K_sydneyanus","S4","Group","BenthoP","B",13.3,24.9
"L_dimidiatus","S5","Solitary","BenthoP","I",17.4,31.2
"L_nebulosus","S2","Solitary","BenthoP","I",17.4,31.1
"L_rhacina","S6","Solitary","Benthic","P",13,24.6
"L_adetii","S4","Group","BenthoP","P",22,31.6
"L_fulviflamma","S4","Group","BenthoP","P",20.1,31.3
"L_russelli","S4","Group","BenthoP","P",17.9,31.1
"M_immaculatus","S4","Group","BenthoP","PK",15.3,24.6
"M_flavolineata","S2","Pair","BenthoP","HD",12,23.2
"M_freycineti","S3","Solitary","BenthoP","O",11.6,24
"M_trachylepis","S4","Solitary","BenthoP","O",15.3,24.6
"M_fuscus","S3","Solitary","Benthic","I",15.2,24.6
"M_vanicolensis","S5","Group","BenthoP","I",19.9,30.8
"M_australis","S4","Solitary","Benthic","I",12.1,23.8
"N_ayraudi","S6","Solitary","BenthoP","P",20.6,31.6
"N_douglasii","S6","Group","BenthoP","I",13,23.8
"N_gymnogenis","S6","Solitary","BenthoP","I",14.1,25.1
"O_lineolata","S3","Solitary","BenthoP","I",13,24.6
"O_halei","S4","Solitary","Benthic","P",15.3,27
"O_maculatus","S6","Solitary","Benthic","P",15.3,26.2
"P_xanthura","S6","Group","Pelagic","PK",16.6,32.3
"P_ramsayi","S4","Solitary","Benthic","I",15.8,24.6
"P_striticeps","S3","Solitary","Benthic","I",16.2,27.8
"P_unifasciata","S4","Solitary","BenthoP","HD",15.6,25.6
"P_multifasciatus","S3","Group","BenthoP","I",20,31.2
"P_spilurus","S4","Solitary","BenthoP","I",15.3,25.6
"P_affinis","S4","Group","BenthoP","PK",15.3,25.6
"P_compressa","S2","Group","BenthoP","PK",15.3,23.6
"P_laticlavius","S3","Solitary","BenthoP","I",10.8,23.2
"P_teira","S2","Group","BenthoP","B",20,31.4
"P_flavomaculatus","S5","Solitary","BenthoP","P",17.8,30.4
"P_maculatus","S2","Group","BenthoP","G",16.1,25.4
"P_microlepidotus","S4","Group","BenthoP","G",15.4,26
"P_dentex","S5","Group","BenthoP","P",14.1,25.3
"P_guentheri","S6","Solitary","BenthoP","I",15.4,28.4
"P_luculentus","S3","Solitary","BenthoP","I",15.3,25.3
"P_digramma","S3","Group","Pelagic","PK",20.1,31.2
"R_sarba","S6","Group","BenthoP","I",15.3,26.9
"S_australis","S5","Group","Pelagic","P",15.3,24.6
"S_scalaripinnis","S6","Group","BenthoP","PK",15.3,25.2
"S_cardinalis","S3","Solitary","Benthic","I",14.7,25.5
"S_lineolata","S4","Solitary","BenthoP","B",13,25.2
"S_dumerili","S5","Group","Pelagic","P",10.4,29.6
"S_hippos","S6","Group","Pelagic","P",15.9,24.5
"S_lalandi","S6","Group","Pelagic","P",15,26.2
"S_rivoliana","S5","Group","Pelagic","P",18.4,30
"S_fuscensens","S6","Group","BenthoP","B",16.2,31.2
"S_interrupta","S4","Group","BenthoP","I",15.4,30.9
"S_chrysopterus","S2","Solitary","BenthoP","I",19.1,31.2
"S_jaculum","S3","Solitary","Benthic","I",15.9,31.2
"T_lunare","S2","Solitary","BenthoP","I",16.2,31.2
"T_lutescens","S4","Group","BenthoP","I",18.5,29.6
"T_taeniatus","S3","Group","BenthoP","PK",15.2,25.2
"T_novaezelandiae","S2","Group","BenthoP","PK",14.1,23.9
"T_fasciata","S3","Solitary","Benthic","I",12.4,23.7
"U_lineatus","S6","Group","BenthoP","I",14.7,24.6
"A_neoguinaicus","S3","Group","BenthoP","I",19.1,29.8
"A_atelodus","S6","Group","Pelagic","P",18.9,24.1
"C_melampygus","S6","Group","Pelagic","P",23.5,31.1
"C_sexfasciatus","S7","Group","Pelagic","P",19.5,31.5
"C_weberi","S2","Group","BenthoP","PK",22,31.4
"C_punctatus","S2","Solitary","BenthoP","I",16.2,30.4
"C_aprinus","S3","Solitary","BenthoP","I",16.2,27
"C_aygula","S6","Solitary","BenthoP","I",20,30.6
"D_thetidis","S6","Solitary","Benthic","I",15.3,24.9
"D_punctulatus","S4","Solitary","BenthoP","I",15.3,25.6
"E_cyanopodus","S6","Solitary","BenthoP","P",15.3,24.9
"G_elevata","S5","Group","BenthoP","B",12.6,24.9
"G_speciosus","S6","Group","BenthoP","P",21.5,31.8
"H_nebulosus","S2","Group","BenthoP","I",16.3,31.3
"M_scaber","S4","Solitary","BenthoP","I",12,21.6
"M_strigatus","S3","Group","BenthoP","O",15.3,29
"P_bleekeri","S4","Solitary","Benthic","I",15.3,23.2
"P_tapeinosoma","S2","Solitary","Benthic","P",15.8,30.4
"P_coelestis","S2","Group","BenthoP","PK",16.1,31.2
"R_canadum","S6","Group","BenthoP","P",17.3,30.5
"S_nigrofasciata","S5","Solitary","Pelagic","P",15.9,24.5
"T_macracanthus","S3","Solitary","Benthic","P",18.4,24.9
"Z_cornutus","S3","Pair","BenthoP","I",18.4,31.2
"A_nigrofuscus","S3","Group","BenthoP","G",20.1,30.8
"C_caerulaurea","S4","Group","Benthic","PK",21,31.4
"C_cephalotes","S4","Solitary","BenthoP","I",18.2,30.5
"C_kleinii","S2","Pair","BenthoP","O",19.9,31.4
"C_lophodon","S4","Solitary","Benthic","B",14.1,23.2
"C_vestitus","S4","Solitary","BenthoP","I",15.3,27.2
"H_annulatus","S4","Solitary","BenthoP","P",19.3,31.3
"H_hortulanus","S3","Solitary","BenthoP","I",22.7,31.2
"H_margaritaceus","S2","Solitary","BenthoP","I",19.3,29.8
"L_cyanopleura","S2","Group","BenthoP","PK",16.2,31.3
"N_unicornis","S5","Solitary","BenthoP","B",17.4,30.9
"P_hepatus","S4","Solitary","BenthoP","O",19.9,30.7
"P_oligolepis","S3","Solitary","BenthoP","HD",18.4,24.2
"S_apicalis","S2","Solitary","BenthoP","G",19.8,30.2
"S_gascoynei","S4","Group","BenthoP","B",18.7,27.7
"S_ghobban","S2","Solitary","BenthoP","G",18.5,31.2
"S_nebulosus","S3","Group","Benthic","PK",16.2,31.2
"T_jansenii","S3","Group","BenthoP","I",19.8,31.3
