"Species","Size","Agg","Position","Diet","Kmax"
"Aulostomus_chinensis","S5","Solitary","BenthoP","P",0.148528844
"Acanthurus_dussumieri","S5","Group","BenthoP","G",0.194366038
"Austrolabrus_maculatus","S2","Solitary","BenthoP","I",0.77132526
"Anampses_neoguinaicus","S3","Solitary","BenthoP","I",0.317840785
"Acanthurus_nigrofuscus","S3","Group","BenthoP","G",0.29360956
"Atypichthys_strigatus","S3","Group","BenthoP","PK",0.215673834
"Achoerodus_viridis","S6","Solitary","BenthoP","I",0.084906001
"Caesio_caerulaurea","S4","Group","Pelagic","PK",0.120501433
"Choerodon_cephalotes","S4","Solitary","BenthoP","I",0.125353664
"Coris_dorsomacula","S4","Solitary","BenthoP","I",0.129049286
"Chaetodon_guentheri","S3","Solitary","BenthoP","OM",0.398493439
"Chaetodon_kleinii","S2","Solitary","BenthoP","OM",0.510609835
"Aplodactylus_lophodon","S4","Solitary","Benthic","B",0.144746587
"Coris_picta","S3","Solitary","BenthoP","I",0.205707289
"Goniistius_vestitus","S4","Solitary","BenthoP","I",0.137867197
"Dicotylichthys_punctulatus","S4","Solitary","BenthoP","I",0.147154324
"Enoplosus_armatus","S4","Group","BenthoP","I",0.134348854
"Girella_elevata","S5","Group","BenthoP","B",0.123161428
"Hologymnosus_annulatus","S4","Solitary","BenthoP","P",0.146656603
"Halichoeres_hortulanus","S3","Solitary","BenthoP","I",0.240109697
"Halichoeres_margaritaceus","S2","Solitary","BenthoP","I",0.77132526
"Kyphosus_sydneyanus","S5","Group","BenthoP","B",0.104445737
"Leptojulis_cyanopleura","S2","Group","BenthoP","PK",0.54319346
"Labroides_dimidiatus","S2","Solitary","BenthoP","I",0.491310522
"Morwong_fuscus","S5","Solitary","Benthic","I",0.059143741
"Mulloidichthys_vanicolensis","S4","Group","BenthoP","I",0.129049286
"Notolabrus_gymnogenis","S3","Solitary","BenthoP","I",0.255015507
"Naso_unicornis","S5","Solitary","BenthoP","B",0.107262429
"Ophthalmolepis_lineolata","S4","Solitary","BenthoP","I",0.147154324
"Pempheris_affinis","S2","Group","BenthoP","PK",0.598092109
"Plectorhinchus_flavomaculatus","S5","Solitary","BenthoP","P",0.11833591
"Pseudolabrus_guentheri","S3","Solitary","BenthoP","I",0.472974002
"Paracanthurus_hepatus","S4","Solitary","BenthoP","OM",0.18222972
"Pictilabrus_laticlavius","S3","Solitary","BenthoP","I",0.255015507
"Pseudolabrus_luculentus","S3","Solitary","BenthoP","I",0.599164665
"Prionurus_maculatus","S4","Group","BenthoP","G",0.160047531
"Prionurus_microlepidotus","S5","Group","BenthoP","G",0.127124153
"Parma_oligolepis","S3","Solitary","BenthoP","HD",0.471034661
"Parupeneus_spilurus","S4","Solitary","BenthoP","I",0.144643165
"Parma_unifasciata","S3","Solitary","BenthoP","HD",0.378393114
"Paracaesio_xanthura","S4","Group","BenthoP","PK",0.135493591
"Rhabdosargus_sarba","S5","Group","Benthic","I",0.114850376
"Stegastes_apicalis","S2","Solitary","BenthoP","G",0.5109424
"Sufflamen_chrysopterum","S3","Solitary","BenthoP","I",0.227071241
"Stegastes_gascoynei","S2","Solitary","BenthoP","G",0.5109424
"Scarus_ghobban","S5","Solitary","BenthoP","HD",0.100616835
"Scorpis_lineolata","S3","Group","Pelagic","PK",0.268453971
"Siganus_fuscescens","S4","Group","BenthoP","B",0.186412878
"Thalassoma_jansenii","S3","Group","BenthoP","I",0.340367556
"Thalassoma_lunare","S4","Solitary","BenthoP","I",0.114803832
"Thalassoma_lutescens","S3","Group","BenthoP","I",0.227071241
