"Species","thermal"
"Aulostomus_chinensis",25.35
"Acanthurus_dussumieri",24.25
"Austrolabrus_maculatus",18.95
"Anampses_neoguinaicus",24.45
"Acanthurus_nigrofuscus",25.45
"Atypichthys_strigatus",19.35
"Achoerodus_viridis",19.65
"Caesio_caerulaurea",26.2
"Choerodon_cephalotes",24.35
"Coris_dorsomacula",22.6
"Chaetodon_guentheri",21.1
"Chaetodon_kleinii",25.65
"Aplodactylus_lophodon",18.65
"Coris_picta",20.25
"Goniistius_vestitus",21.25
"Dicotylichthys_punctulatus",20.45
"Enoplosus_armatus",18.3
"Girella_elevata",18.75
"Hologymnosus_annulatus",25.3
"Halichoeres_hortulanus",26.95
"Halichoeres_margaritaceus",24.55
"Kyphosus_sydneyanus",19.1
"Leptojulis_cyanopleura",23.75
"Labroides_dimidiatus",24.3
"Morwong_fuscus",19.9
"Mulloidichthys_vanicolensis",25.35
"Notolabrus_gymnogenis",19.6
"Naso_unicornis",24.15
"Ophthalmolepis_lineolata",18.8
"Pempheris_affinis",20.45
"Pempheris_compressa",19.45
"Plectorhinchus_flavomaculatus",24.1
"Pseudolabrus_guentheri",21.9
"Pseudocaranx_dentex",19.7
"Paracanthurus_hepatus",25.3
"Pictilabrus_laticlavius",17
"Pseudolabrus_luculentus",20.3
"Prionurus_maculatus",20.75
"Prionurus_microlepidotus",20.7
"Parma_oligolepis",21.3
"Parupeneus_spilurus",20.45
"Parma_unifasciata",20.6
"Paracaesio_xanthura",24.45
"Rhabdosargus_sarba",21.1
"Stegastes_apicalis",25
"Sufflamen_chrysopterum",25.15
"Stegastes_gascoynei",23.2
"Scarus_ghobban",24.85
"Scorpis_lineolata",19.1
"Siganus_fuscescens",23.7
"Thalassoma_jansenii",25.55
"Thalassoma_lunare",23.7
"Thalassoma_lutescens",24.05
"Abudefduf_bengalensis",24.45
"Acanthistius_ocellatus",19.9
"Acanthopagrus_australis",20.25
"Aetobatus_narinari",25.5
"Aluterus_monoceros",26.1
"Anampses_caeruleopunctatus",24.4
"Apogon_limenus",20.8
"Bodianus_frenchii",19.85
"Bodianus_perditio",22.2
"Brachaelurus_waddi",20.2
"Canthigaster_callisterna",20.45
"Carcharias_taurus",21.75
"Centropogon_australis",20.8
"Centropyge_tibicen",25.1
"Chaetodon_flavirostris",23.5
"Chelmonops_truncatus",19.95
"Choerodon_venustus",26.85
"Chrysophrys_auratus",20.25
"Chromis_hypsilepis",19.95
"Dasyatis_brevicaudata",20.1
"Dinolestes_lewini",17.45
"Echeneis_naucrates",25.35
"Epinephelus_daemelii",20.55
"Epinephelus_fasciatus",25.75
"Epinephelus_undulatostriatus",20.4
"Eubalichthys_mosaicus",18.85
"Eupetrichthys_angustipes",18.8
"Glaucosoma_scapulare",21.5
"Gymnothorax_prasinus",19.5
"Gymnothorax_prionodon",20.55
"Gymnothorax_thyrsoidea",24.65
"Heniochus_acuminatus",25.4
"Heterodontus_galeatus",19.95
"Hypoplectrodes_maccullochi",19.65
"Lethrinus_nebulosus",24.25
"Lotella_rhacina",18.8
"Lutjanus_adetii",26.8
"Lutjanus_fulviflamma",25.7
"Lutjanus_russellii",24.5
"Mecaenichthys_immaculatus",19.95
"Meuschenia_flavolineata",17.6
"Meuschenia_freycineti",17.8
"Meuschenia_trachylepis",19.95
"Myliobatis_australis",17.95
"Nelusetta_ayraud",26.1
"Nemadactylus_douglasii",18.4
"Orectolobus_halei",21.15
"Orectolobus_maculatus",20.75
"Parapercis_ramsayi",20.2
"Parapercis_stricticeps",22
"Parupeneus_multifasciatus",25.6
"Platax_teira",25.7
"Pterocaesio_digramma",25.65
"Sarda_australis",19.95
"Schuettea_scalaripinnis",20.25
"Scorpaena_cardinalis",20.1
"Seriola_dumerili",20
"Seriola_hippos",20.2
"Seriola_lalandi",20.6
"Seriola_rivoliana",24.2
"Stethojulis_interrupta",23.15
"Synodus_jaculum",23.55
"Trachinops_taeniatus",20.2
"Trachurus_novaezelandiae",19
"Trygonorrhina_fasciata",18.05
"Upeneichthys_lineatus",19.65
