Species,Size,Agg,Position,Diet,Kmax,I,M,O,affinity
Aulostomus_chinensis,S5,Solitary,BenthoP,P,0.148528844,0,6.417578615,121.6286414,tropical
Acanthurus_dussumieri,S4,Group,BenthoP,HD,0.194366038,0,0,371.7665833,tropical
Austrolabrus_maculatus,S2,Solitary,BenthoP,I,0.77132526,5.518504535,0,0,temperate
Anampses_neoguinaicus,S3,Solitary,BenthoP,I,0.317840785,0,5.731414685,0,tropical
Acanthurus_nigrofuscus,S3,Group,BenthoP,HD,0.29360956,0,0,68.72678103,tropical
Atypichthys_strigatus,S3,Group,BenthoP,PK,0.215673834,805.275278,759.9774035,561.2891849,temperate
Achoerodus_viridis,S6,Solitary,Benthic,I,0.104669075,1488.70684,2350.443166,1552.723694,temperate
Caesio_caerulaurea,S3,Group,Pelagic,PK,0.120501433,0,0,77.09577068,tropical
Choerodon_cephalotes,S4,Solitary,BenthoP,I,0.125353664,0,62.9834987,0,tropical
Coris_dorsomacula,S4,Solitary,BenthoP,I,0.129049286,0,0,31.8802014,temperate
Chaetodon_guentheri,S2,Solitary,BenthoP,OM,0.398493439,0,0,22.53495913,temperate
Chaetodon_kleinii,S2,Solitary,BenthoP,OM,0.510609835,0,0,28.125,tropical
Aplodactylus_lophodon,S4,Solitary,Benthic,HM,0.144746587,0,49.58134661,0,temperate
Coris_picta,S3,Solitary,BenthoP,I,0.205707289,0,72.34245845,0,temperate
Goniistius_vestitus,S3,Solitary,BenthoP,I,0.137867197,0,0,238.8486746,temperate
Dicotylichthys_punctulatus,S4,Solitary,BenthoP,I,0.147154324,152.4035427,158.0052006,0,temperate
Enoplosus_armatus,S4,Group,BenthoP,I,0.134348854,15.06359315,5.143738083,0,temperate
Girella_elevata,S5,Group,BenthoP,HM,0.123161428,227.3350366,0,0,temperate
Hologymnosus_annulatus,S4,Solitary,BenthoP,P,0.146656603,0,0,15.9401007,tropical
Halichoeres_hortulanus,S3,Solitary,BenthoP,I,0.240109697,0,19.43788915,0,tropical
Halichoeres_margaritaceus,S2,Solitary,BenthoP,I,0.77132526,0,7.016601563,7.016601563,tropical
Kyphosus_sydneyanus,S5,Group,Pelagic,HM,0.104445737,0,1614.106811,363.6754383,temperate
Leptojulis_cyanopleura,S2,Group,BenthoP,PK,0.54319346,0,0,5.731414685,tropical
Labroides_dimidiatus,S2,Solitary,BenthoP,I,0.491310522,0,3.565294879,11.67570144,tropical
Morwong_fuscus,S5,Solitary,BenthoP,I,0.059143741,272.9847774,0,642.3297189,temperate
Mulloidichthys_vanicolensis,S4,Group,BenthoP,I,0.129049286,0,0,57.35534153,tropical
Notolabrus_gymnogenis,S3,Solitary,BenthoP,I,0.255015507,208.1036712,226.9586831,58.590245,temperate
Naso_unicornis,S5,Solitary,BenthoP,HM,0.107262429,0,0,123.7213652,tropical
Ophthalmolepis_lineolata,S4,Solitary,BenthoP,I,0.147154324,28.69822398,109.7900138,0,temperate
Pempheris_affinis,S2,Group,BenthoP,PK,0.598092109,359.6537134,9.990380925,539.48057,temperate
Pempheris_compressa,S3,Group,BenthoP,PK,0.334996507,0,1430.790534,539.48057,temperate
Plectorhinchus_flavomaculatus,S4,Solitary,BenthoP,P,0.11833591,0,0,269.2097665,tropical
Pseudolabrus_guentheri,S2,Solitary,BenthoP,I,0.472974002,122.328693,76.47737552,43.34303077,temperate
Pseudocaranx_dentex,S6,Group,BenthoP,P,0.059328914,0,0,85.76391023,temperate
Paracanthurus_hepatus,S3,Solitary,Benthic,PK,0.18222972,0,54.9876055,27.49380275,tropical
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I,0.255015507,19.86761652,0,0,temperate
Pseudolabrus_luculentus,S2,Solitary,BenthoP,I,0.599164665,0,5.518504535,19.86761652,temperate
Prionurus_maculatus,S4,Group,BenthoP,HD,0.160047531,0,1859.21047,0,temperate
Prionurus_microlepidotus,S5,Group,BenthoP,HD,0.127124153,0,9321.991761,2616.656701,temperate
Parma_oligolepis,S2,Solitary,Benthic,HM,0.471034661,138.626296,0,0,temperate
Parupeneus_spilurus,S4,Solitary,Benthic,I,0.144643165,0,0,224.3717654,temperate
Parma_unifasciata,S2,Solitary,Benthic,HM,0.378393114,192.2525131,1102.14946,859.3063441,temperate
Paracaesio_xanthura,S4,Group,BenthoP,PK,0.135493591,0,0,337.5271892,tropical
Rhabdosargus_sarba,S5,Group,Benthic,I,0.114850376,302.9453126,161.9316406,0,temperate
Stegastes_apicalis,S2,Solitary,Benthic,HD,0.5109424,0,9.68844987,0,tropical
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I,0.227071241,0,0,24.65184824,tropical
Stegastes_gascoynei,S2,Solitary,Benthic,HD,0.5109424,0,9.68844987,19.37689974,tropical
Scarus_ghobban,S5,Solitary,BenthoP,HD,0.100616835,0,354.2294538,0,tropical
Scorpis_lineolata,S3,Group,Pelagic,PK,0.268453971,810.7628425,3709.019907,8368.682944,temperate
Siganus_fuscescens,S4,Group,BenthoP,HM,0.186412878,263.5690238,1606.664024,810.8886166,tropical
Thalassoma_jansenii,S3,Group,BenthoP,I,0.340367556,0,0,9.306640625,tropical
Thalassoma_lunare,S4,Solitary,BenthoP,I,0.114803832,6.315437353,95.66708628,95.66708629,tropical
Thalassoma_lutescens,S3,Group,BenthoP,I,0.227071241,0,231.1121774,160.6577946,tropical
