"Year","A. bengalensis","A. ocellatus","A. australis","A. dussumieri","A. viridis","A. narinari","A. monoceros","A. caeruleopunctatus","A. lophodon","A. limenus","A. strigatus","A. chinensis","A. maculatus","B. frenchii","B. perditio","B. waddi","C. callisterna","C. taurus","C. australis","C. tibicen","C. flavirostris","C. guentheri","C. truncatus","C. venustus","C. hypsilepis","C. auratus","C. dorsomacula","C. picta","D. brevicaudata","D. lewini","E. naucrates","E. armatus","E. daemelii","E. fasciatus","E. undulatostriatus","E. mosaicus","E. angustipes","G. scapulare","G. vestitus","G. prasinus","G. prionodon","G. thyrsoidea","H. acuminatus","H. galeatus","H. maccullochi","K. sydneyanus","L. dimidiatus","L. nebulosus","L. rhacina","L. adetii","L. fulviflamma","L. russellii","M. immaculatus","M. flavolineata","M. freycineti","M. trachylepis","M. fuscus","M. vanicolensis","M. australis","N. ayraud","N. douglasii","N. gymnogenis","O. lineolata","O. halei","O. maculatus","P. xanthura","P. ramsayi","P. stricticeps","P. unifasciata","P. multifasciatus","P. spilurus","P. affinis","P. compressa","P. laticlavius","P. teira","P. flavomaculatus","P. maculatus","P. microlepidotus","P. dentex","P. guentheri","P. luculentus","P. digramma","R. sarba","S. australis","S. scalaripinnis","S. cardinalis","S. lineolata","S. dumerili","S. hippos","S. lalandi","S. rivoliana","S. fuscescens","S. interrupta","S. chrysopterum","S. jaculum","T. lunare","T. lutescens","T. taeniatus","T. novaezelandiae","T. fasciata","U. lineatus"
"2002",0,6,8,0,2,0,0,0,0,0,468,0,3,0,1,8,0,0,2,0,0,4,0,0,0,7,0,1,1,1,0,1,0,1,0,0,0,1,0,9,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,26,8,0,0,0,0,16,0,2,0,0,1,0,0,0,2,4,7,0,0,6,0,0,19,74,0,3,20,0,0,0,0,0,0,5,1,126,0,0
"2003",0,2,16,0,0,0,0,0,1,0,120,0,4,0,1,7,0,0,0,0,0,0,3,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,18,29,7,1,0,0,0,13,0,2,0,0,3,0,0,0,2,37,2,1,0,9,0,1,9,105,0,0,0,0,2,0,0,0,2,1,0,15,0,0
"2004",0,7,11,0,3,0,0,0,1,0,241,0,7,0,1,2,0,0,0,0,1,0,0,0,0,8,0,5,2,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,22,26,3,1,2,0,0,32,0,4,0,0,3,0,0,0,4,2,3,0,0,7,3,0,16,129,0,0,3,0,0,0,1,0,1,5,63,30,0,0
"2005",0,5,4,0,1,0,0,0,0,0,638,0,4,0,0,3,0,0,0,0,0,2,0,0,2,42,0,1,2,0,0,2,0,0,0,1,0,2,0,11,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,16,18,1,1,16,0,0,16,0,1,1,0,0,0,0,0,21,6,2,0,0,4,0,0,15,270,0,0,0,0,1,0,0,0,2,0,15,192,0,0
"2006",1,4,2,0,0,0,0,0,1,0,333,1,5,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,1,0,0,15,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,25,30,6,0,0,0,1,15,0,4,1,0,0,0,0,0,2,12,2,0,0,3,0,0,33,118,0,0,0,1,2,2,0,0,2,3,100,170,0,0
"2007",0,5,2,0,1,0,0,0,0,0,182,1,6,0,2,3,0,1,0,0,1,0,0,0,3,15,0,6,1,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,14,8,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,20,35,6,1,0,0,0,24,0,1,2,0,0,0,0,0,11,47,0,0,1,26,0,0,18,138,0,0,0,0,1,0,0,0,4,7,15,72,0,0
"2008",0,8,11,0,2,0,0,0,0,0,97,0,2,1,0,5,0,0,0,0,0,0,0,0,0,37,1,12,0,0,0,3,1,2,0,0,0,0,0,16,0,0,0,0,31,0,0,0,0,0,0,2,0,0,1,1,3,0,0,1,1,31,42,6,4,2,0,0,31,0,2,0,0,0,0,0,0,110,18,3,0,0,15,0,0,46,191,1,0,0,0,0,0,0,1,4,6,35,352,0,0
"2009",0,5,22,0,2,0,0,0,0,2,4,0,0,1,0,5,0,0,0,0,0,5,0,0,0,27,0,8,1,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,28,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,26,43,5,1,0,0,0,22,0,4,5,0,0,0,0,0,7,35,0,0,0,13,0,0,37,127,0,0,0,0,0,0,0,0,2,2,9,6,1,1
"2010",0,9,33,0,8,1,2,0,2,0,447,0,1,1,1,7,0,0,0,0,0,6,0,0,0,14,1,14,1,0,0,1,0,1,0,3,0,1,1,13,0,0,0,0,19,1,1,0,0,0,0,0,0,1,0,0,7,0,0,0,1,28,44,3,3,11,2,0,26,0,10,0,0,0,1,0,1,33,17,3,0,0,18,0,0,44,243,0,0,1,0,13,0,0,0,2,1,143,13,0,2
"2011",0,5,21,0,3,0,0,0,0,0,120,1,6,0,0,5,1,0,0,0,0,3,0,0,1,21,2,11,0,0,0,1,0,0,0,2,0,4,0,15,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,29,36,4,0,0,0,0,22,0,9,1,0,0,0,0,0,164,4,1,0,0,8,0,0,46,303,0,0,0,0,0,0,0,0,6,2,67,218,0,0
"2013",0,8,12,0,5,0,0,0,0,0,159,0,7,1,0,7,0,0,0,0,0,2,0,2,0,19,0,5,0,0,0,2,2,0,1,1,0,0,0,15,2,0,0,0,22,0,1,0,0,0,0,2,2,0,0,0,6,0,0,0,3,26,42,8,0,0,1,0,26,0,10,4,0,0,0,0,0,7,22,9,0,0,8,0,0,32,117,0,2,0,0,2,0,0,0,4,4,70,3,0,1
"2015",0,10,9,1,1,0,0,0,0,0,512,0,1,0,0,1,0,0,0,1,1,7,0,2,0,45,1,14,0,0,0,2,0,1,3,3,0,0,0,19,1,0,0,0,9,0,3,2,0,0,1,5,2,0,0,0,8,1,1,0,3,23,21,6,0,0,0,4,34,0,7,0,0,0,0,1,0,51,6,11,0,3,27,0,0,29,249,3,0,0,0,10,0,0,0,12,5,2,208,0,0
"2018",0,7,19,0,2,0,0,0,1,0,462,0,8,2,2,6,1,0,0,0,0,15,0,1,0,27,0,21,0,0,0,7,2,0,0,2,0,0,1,10,0,0,0,0,19,0,0,0,0,1,1,10,0,0,0,0,4,0,1,0,2,24,29,8,1,3,0,3,34,1,17,0,0,0,0,0,0,53,34,13,0,0,22,0,0,25,278,0,0,0,0,8,1,0,0,10,4,69,72,0,0
"2014",0,6,8,0,2,0,0,2,0,0,329,0,1,0,0,4,1,0,0,0,0,2,0,1,1,46,0,8,0,0,0,4,3,1,0,0,0,1,0,10,0,0,1,1,7,0,0,0,0,0,0,6,0,0,0,0,10,0,1,0,5,18,23,5,2,0,0,0,27,0,15,4,1,0,0,0,0,12,7,8,0,0,7,1,0,13,206,0,9,0,0,2,0,0,0,2,1,0,369,0,0
