Site,Area,Habitat,Transect,PQ,Turf_CCA,Coral,Ecklonia radiata,Other,Macroalgae,Sand,Sponge,Other_invertebrate
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (10).JPG,1,0,11,0,0,13,0,0
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (11).JPG,9,0,2,5,8,1,0,0
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (12).JPG,2,0,0,8,15,0,0,0
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (13).JPG,5,1,0,4,12,1,0,2
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (14).JPG,2,0,10,2,0,7,0,4
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (15).JPG,9,0,2,5,0,6,0,3
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (2).JPG,9,0,5,2,7,1,0,1
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (3).JPG,2,0,5,6,11,0,0,1
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (4).JPG,3,8,2,1,8,3,0,0
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (5).JPG,6,0,4,7,3,0,0,5
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (6).JPG,0,0,16,2,5,1,0,1
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (7).JPG,10,0,5,0,2,3,0,5
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (8).JPG,10,0,12,1,0,1,0,1
Corindi,Solitaries,Inshore,T1,CORINDI_13Jan2021_T1 (9).JPG,21,0,1,2,0,1,0,0
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (10).JPG,13,0,0,2,0,0,0,10
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (11).JPG,19,0,3,0,0,2,0,1
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (12).JPG,16,0,0,8,0,1,0,0
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (13).JPG,13,0,0,6,2,4,0,0
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (14).JPG,1,0,5,3,0,16,0,0
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (2).JPG,10,0,10,0,2,0,0,3
Corindi,Solitaries,Inshore,T2,CORINDI_13Jan2021_T2 (3).JPG,15,0,0,3,2,5,0,0
