Species,Size,Agg,Position,Diet
Aulostomus_chinensis,S5,Solitary,BenthoP,P
Acanthurus_dussumieri,S4,Group,BenthoP,HD
Austrolabrus_maculatus,S2,Solitary,BenthoP,I
Anampses_neoguinaicus,S3,Solitary,BenthoP,I
Acanthurus_nigrofuscus,S3,Group,BenthoP,HD
Atypichthys_strigatus,S3,Group,BenthoP,PK
Achoerodus_viridis,S6,Solitary,Benthic,I
Caesio_caerulaurea,S3,Group,Pelagic,PK
Choerodon_cephalotes,S4,Solitary,BenthoP,I
Coris_dorsomacula,S4,Solitary,BenthoP,I
Chaetodon_guentheri,S2,Solitary,BenthoP,OM
Chaetodon_kleinii,S2,Solitary,BenthoP,OM
Aplodactylus_lophodon,S4,Solitary,Benthic,HM
Coris_picta,S3,Solitary,BenthoP,I
Goniistius_vestitus,S3,Solitary,BenthoP,I
Dicotylichthys_punctulatus,S4,Solitary,BenthoP,I
Enoplosus_armatus,S4,Group,BenthoP,I
Girella_elevata,S5,Group,BenthoP,HM
Hologymnosus_annulatus,S4,Solitary,BenthoP,P
Halichoeres_hortulanus,S3,Solitary,BenthoP,I
Halichoeres_margaritaceus,S2,Solitary,BenthoP,I
Kyphosus_sydneyanus,S5,Group,Pelagic,HM
Leptojulis_cyanopleura,S2,Group,BenthoP,PK
Labroides_dimidiatus,S2,Solitary,BenthoP,I
Morwong_fuscus,S5,Solitary,BenthoP,I
Mulloidichthys_vanicolensis,S4,Group,BenthoP,I
Notolabrus_gymnogenis,S3,Solitary,BenthoP,I
Naso_unicornis,S5,Solitary,BenthoP,HM
Ophthalmolepis_lineolata,S4,Solitary,BenthoP,I
Pempheris_affinis,S2,Group,BenthoP,PK
Pempheris_compressa,S3,Group,BenthoP,PK
Plectorhinchus_flavomaculatus,S4,Solitary,BenthoP,P
Pseudolabrus_guentheri,S2,Solitary,BenthoP,I
Pseudocaranx_dentex,S6,Group,BenthoP,P
Paracanthurus_hepatus,S3,Solitary,Benthic,PK
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I
Pseudolabrus_luculentus,S2,Solitary,BenthoP,I
Prionurus_maculatus,S4,Group,BenthoP,HD
Prionurus_microlepidotus,S5,Group,BenthoP,HD
Parma_oligolepis,S2,Solitary,Benthic,HM
Parupeneus_spilurus,S4,Solitary,Benthic,I
Parma_unifasciata,S2,Solitary,Benthic,HM
Paracaesio_xanthura,S4,Group,BenthoP,PK
Rhabdosargus_sarba,S5,Group,Benthic,I
Stegastes_apicalis,S2,Solitary,Benthic,HD
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I
Stegastes_gascoynei,S2,Solitary,Benthic,HD
Scarus_ghobban,S5,Solitary,BenthoP,HD
Scorpis_lineolata,S3,Group,Pelagic,PK
Siganus_fuscescens,S4,Group,BenthoP,HM
Thalassoma_jansenii,S3,Group,BenthoP,I
Thalassoma_lunare,S4,Solitary,BenthoP,I
Thalassoma_lutescens,S3,Group,BenthoP,I
