Species,Thermal_affinity_min,Thermal_affinity_max
Aulostomus_chinensis,19.9,30.8
Acanthurus_dussumieri,17.4,31.1
Austrolabrus_maculatus,13.3,24.6
Anampses_neoguinaicus,19.1,29.8
Acanthurus_nigrofuscus,20.1,30.8
Atypichthys_strigatus,14.1,24.6
Achoerodus_viridis,14.7,24.6
Caesio_caerulaurea,21,31.4
Choerodon_cephalotes,18.2,30.5
Coris_dorsomacula,16.2,29
Chaetodon_guentheri,16,26.2
Chaetodon_kleinii,19.9,31.4
Aplodactylus_lophodon,14.1,23.2
Coris_picta,15.3,25.2
Goniistius_vestitus,15.3,27.2
Dicotylichthys_punctulatus,15.3,25.6
Enoplosus_armatus,12,24.6
Girella_elevata,12.6,24.9
Hologymnosus_annulatus,19.3,31.3
Halichoeres_hortulanus,22.7,31.2
Halichoeres_margaritaceus,19.3,29.8
Kyphosus_sydneyanus,13.3,24.9
Leptojulis_cyanopleura,16.2,31.3
Labroides_dimidiatus,17.4,31.2
Morwong_fuscus,15.2,24.6
Mulloidichthys_vanicolensis,19.9,30.8
Notolabrus_gymnogenis,14.1,25.1
Naso_unicornis,17.4,30.9
Ophthalmolepis_lineolata,13,24.6
Pempheris_affinis,15.3,25.6
Pempheris_compressa,15.3,23.6
Plectorhinchus_flavomaculatus,17.8,30.4
Pseudolabrus_guentheri,15.4,28.4
Pseudocaranx_dentex,14.1,25.3
Paracanthurus_hepatus,19.9,30.7
Pictilabrus_laticlavius,10.8,23.2
Pseudolabrus_luculentus,15.3,25.3
Prionurus_maculatus,16.1,25.4
Prionurus_microlepidotus,15.4,26
Parma_oligolepis,18.4,24.2
Parupeneus_spilurus,15.3,25.6
Parma_unifasciata,15.6,25.6
Paracaesio_xanthura,16.6,32.3
Rhabdosargus_sarba,15.3,26.9
Stegastes_apicalis,19.8,30.2
Sufflamen_chrysopterum,19.1,31.2
Stegastes_gascoynei,18.7,27.7
Scarus_ghobban,18.5,31.2
Scorpis_lineolata,13,25.2
Siganus_fuscescens,16.2,31.2
Thalassoma_jansenii,19.8,31.3
Thalassoma_lunare,16.2,31.2
Thalassoma_lutescens,18.5,29.6
