Site,Acanthistius_ocellatus,Acanthopagrus_australis,Achoerodus_viridis,Anampses_caeruleopunctatus,Anampses_neoguinaicus,Apogon_limenus,Atractoscion_atelodus,Atypichthys_strigatus,Austrolabrus_maculatus,Bodianus_frenchii,Bodianus_perditio,Brachaelurus_waddi,Canthigaster_callisterna,Caranx_melampygus,Caranx_sexfasciatus,Carcharias_taurus,Centropogon_australis,Chaetodon_flavirostris,Chaetodon_guentheri,Chelmonops_truncatus,Choerodon_venustus,Chrysophrys_auratus,Chromis_hypsilepis,Chromis_weberi,Cirrhilabrus_punctatus,Cirrhitichthys_aprinus,Coris_aygula,Coris_dorsomacula,Coris_picta,Dasyatis_brevicaudata,Dasyatis_thetidis,Dicotylichthys_punctulatus,Dinolestes_lewini,Echeneis_naucrates,Enoplosus_armatus,Epinephelus_cyanopodus,Epinephelus_daemelii,Epinephelus_fasciatus,Epinephelus_undulatostriatus,Eubalichthys_mosaicus,Eupetrichthys_angustipes,Girella_elevata,Glaucosoma_scapulare,Gnathanodon_speciosus,Goniistius_vestitus,Gymnothorax_prasinus,Gymnothorax_prionodon,Gymnothorax_thyrsoidea,Halichoeres_nebulosus,Heniochus_acuminatus,Hypoplectrodes_maccullochi,Kyphosus_sydneyanus,Labroides_dimidiatus,Lutjanus_adetii,Lutjanus_fulviflamma,Lutjanus_russellii,Mecaenichthys_immaculatus,Meuschenia_freycineti,Meuschenia_scaber,Meuschenia_trachylepis,Microcanthus_strigatus,Morwong_fuscus,Myliobatis_australis,Nelusetta_ayraud,Nemadactylus_douglasii,Notolabrus_gymnogenis,Ophthalmolepis_lineolata,Orectolobus_halei,Orectolobus_maculatus,Paracaesio_xanthura,Parapercis_ramsayi,Parapercis_stricticeps,Paraplesiops_bleekeri,Parma_unifasciata,Parupeneus_multifasciatus,Parupeneus_spilurus,Pempheris_affinis,Pempheris_compressa,Plagiotremus_tapeinosoma,Pomacentrus_coelestis,Prionurus_maculatus,Prionurus_microlepidotus,Pseudocaranx_dentex,Pseudolabrus_guentheri,Pseudolabrus_luculentus,Pterocaesio_digramma,Rachycentron_canadum,Rhabdosargus_sarba,Sarda_australis,Schuettea_scalaripinnis,Scorpaena_cardinalis,Scorpis_lineolata,Seriola_dumerili,Seriola_hippos,Seriola_lalandi,Seriolina_nigrofasciata,Seriola_rivoliana,Siganus_fuscescens,Synodus_jaculum,Thalassoma_lunare,Thalassoma_lutescens,Trachinops_taeniatus,Trachurus_novaezelandiae,Trachypoma_macracanthus,Upeneichthys_lineatus,Zanclus_cornutus
40AcresN1_2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0
40AcresN1_2005,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40AcresN1_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2010,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12,0,0,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0
