"Code","Site","Year"
"40AcresN_2002","40AcresN",2002
"40AcresN_2003","40AcresN",2003
"40AcresN_2004","40AcresN",2004
"40AcresN_2005","40AcresN",2005
"40AcresN_2006","40AcresN",2006
"40AcresN_2007","40AcresN",2007
"40AcresN_2008","40AcresN",2008
"40AcresN_2009","40AcresN",2009
"40AcresN_2010","40AcresN",2010
"40AcresN_2011","40AcresN",2011
"40AcresN_2013","40AcresN",2013
"40AcresN_2014","40AcresN",2014
"40AcresN_2015","40AcresN",2015
"40AcresN_2018","40AcresN",2018
"40AcresW_2002","40AcresW",2002
"40AcresW_2003","40AcresW",2003
"40AcresW_2004","40AcresW",2004
"40AcresW_2005","40AcresW",2005
"40AcresW_2006","40AcresW",2006
"40AcresW_2007","40AcresW",2007
"40AcresW_2008","40AcresW",2008
"40AcresW_2009","40AcresW",2009
"40AcresW_2010","40AcresW",2010
"40AcresW_2011","40AcresW",2011
"40AcresW_2013","40AcresW",2013
"40AcresW_2014","40AcresW",2014
"40AcresW_2015","40AcresW",2015
"40AcresW_2018","40AcresW",2018
"Bullocky_2002","Bullocky",2002
"Bullocky_2003","Bullocky",2003
"Bullocky_2004","Bullocky",2004
"Bullocky_2005","Bullocky",2005
"Bullocky_2006","Bullocky",2006
"Bullocky_2007","Bullocky",2007
"Bullocky_2008","Bullocky",2008
"Bullocky_2009","Bullocky",2009
"Bullocky_2010","Bullocky",2010
"Bullocky_2011","Bullocky",2011
"Bullocky_2013","Bullocky",2013
"Bullocky_2014","Bullocky",2014
"Bullocky_2015","Bullocky",2015
"Bullocky_2018","Bullocky",2018
"Groper_2002","Groper",2002
"Groper_2003","Groper",2003
"Groper_2004","Groper",2004
"Groper_2005","Groper",2005
"Groper_2006","Groper",2006
"Groper_2007","Groper",2007
"Groper_2008","Groper",2008
"Groper_2009","Groper",2009
"Groper_2010","Groper",2010
"Groper_2011","Groper",2011
"Groper_2013","Groper",2013
"Groper_2014","Groper",2014
"Groper_2015","Groper",2015
"Groper_2018","Groper",2018
