"Species","Size","Agg","Position","Diet","Kmax"
"Aulostomus_chinensis","S5","Solitary","BenthoP","P",0.148528844118118
"Acanthurus_dussumieri","S4","Group","BenthoP","HD",0.194366037845612
"Austrolabrus_maculatus","S2","Solitary","BenthoP","I",0.771325260400772
"Anampses_neoguinaicus","S3","Solitary","BenthoP","I",0.317840784788132
"Acanthurus_nigrofuscus","S3","Group","BenthoP","HD",0.29360955953598
"Atypichthys_strigatus","S3","Group","BenthoP","PK",0.215673834085464
"Achoerodus_viridis","S6","Solitary","Benthic","I",0.104669075459242
"Caesio_caerulaurea","S3","Group","Pelagic","PK",0.120501432567835
"Choerodon_cephalotes","S4","Solitary","BenthoP","I",0.125353664159775
"Coris_dorsomacula","S4","Solitary","BenthoP","I",0.1290492862463
"Chaetodon_guentheri","S2","Solitary","BenthoP","OM",0.398493438959122
"Chaetodon_kleinii","S2","Solitary","BenthoP","OM",0.510609835386276
"Aplodactylus_lophodon","S4","Solitary","Benthic","HM",0.144746586680412
"Coris_picta","S3","Solitary","BenthoP","I",0.205707289278507
"Goniistius_vestitus","S3","Solitary","BenthoP","I",0.137867197394371
"Dicotylichthys_punctulatus","S4","Solitary","BenthoP","I",0.147154323756695
"Enoplosus_armatus","S4","Group","BenthoP","I",0.134348854422569
"Girella_elevata","S5","Group","BenthoP","HM",0.123161427676678
"Hologymnosus_annulatus","S4","Solitary","BenthoP","P",0.146656602621078
"Halichoeres_hortulanus","S3","Solitary","BenthoP","I",0.240109696984291
"Halichoeres_margaritaceus","S2","Solitary","BenthoP","I",0.771325260400772
"Kyphosus_sydneyanus","S5","Group","Pelagic","HM",0.104445736855268
"Leptojulis_cyanopleura","S2","Group","BenthoP","PK",0.543193459510803
"Labroides_dimidiatus","S2","Solitary","BenthoP","I",0.491310521960258
"Morwong_fuscus","S5","Solitary","BenthoP","I",0.059143740683794
"Mulloidichthys_vanicolensis","S4","Group","BenthoP","I",0.1290492862463
"Notolabrus_gymnogenis","S3","Solitary","BenthoP","I",0.255015507340431
"Naso_unicornis","S5","Solitary","BenthoP","HM",0.107262428849936
"Ophthalmolepis_lineolata","S4","Solitary","BenthoP","I",0.147154323756695
"Pempheris_affinis","S2","Group","BenthoP","PK",0.59809210896492
"Pempheris_compressa","S3","Group","BenthoP","PK",0.33499650657177
"Plectorhinchus_flavomaculatus","S4","Solitary","BenthoP","P",0.118335910141468
"Pseudolabrus_guentheri","S2","Solitary","BenthoP","I",0.472974002361298
"Pseudocaranx_dentex","S6","Group","BenthoP","P",0.0593289136886597
"Paracanthurus_hepatus","S3","Solitary","Benthic","PK",0.182229720056057
"Pictilabrus_laticlavius","S3","Solitary","BenthoP","I",0.255015507340431
"Pseudolabrus_luculentus","S2","Solitary","BenthoP","I",0.599164664745331
"Prionurus_maculatus","S4","Group","BenthoP","HD",0.16004753112793
"Prionurus_microlepidotus","S5","Group","BenthoP","HD",0.127124153077602
"Parma_oligolepis","S2","Solitary","Benthic","HM",0.471034660935402
"Parupeneus_spilurus","S4","Solitary","Benthic","I",0.144643165171146
"Parma_unifasciata","S2","Solitary","Benthic","HM",0.378393113613129
"Paracaesio_xanthura","S4","Group","BenthoP","PK",0.135493591427803
"Rhabdosargus_sarba","S5","Group","Benthic","I",0.114850375801325
"Stegastes_apicalis","S2","Solitary","Benthic","HD",0.510942399501801
"Sufflamen_chrysopterum","S3","Solitary","BenthoP","I",0.227071240544319
"Stegastes_gascoynei","S2","Solitary","Benthic","HD",0.510942399501801
"Scarus_ghobban","S5","Solitary","BenthoP","HD",0.100616835057735
"Scorpis_lineolata","S3","Group","Pelagic","PK",0.268453970551491
"Siganus_fuscescens","S4","Group","BenthoP","HM",0.186412878334522
"Thalassoma_jansenii","S3","Group","BenthoP","I",0.340367555618286
"Thalassoma_lunare","S4","Solitary","BenthoP","I",0.114803832024336
"Thalassoma_lutescens","S3","Group","BenthoP","I",0.227071240544319
