Sites,Aulostomus_chinensis,Acanthurus_dussumieri,Austrolabrus_maculatus,Anampses_neoguinaicus,Acanthurus_nigrofuscus,Atypichthys_strigatus,Achoerodus_viridis,Caesio_caerulaurea,Choerodon_cephalotes,Coris_dorsomacula,Chaetodon_guentheri,Chaetodon_kleinii,Aplodactylus_lophodon,Coris_picta,Goniistius_vestitus,Dicotylichthys_punctulatus,Enoplosus_armatus,Girella_elevata,Hologymnosus_annulatus,Halichoeres_hortulanus,Halichoeres_margaritaceus,Kyphosus_sydneyanus,Leptojulis_cyanopleura,Labroides_dimidiatus,Morwong_fuscus,Mulloidichthys_vanicolensis,Notolabrus_gymnogenis,Naso_unicornis,Ophthalmolepis_lineolata,Pempheris_affinis,Plectorhinchus_flavomaculatus,Pseudolabrus_guentheri,Paracanthurus_hepatus,Pictilabrus_laticlavius,Pseudolabrus_luculentus,Prionurus_maculatus,Prionurus_microlepidotus,Parma_oligolepis,Parupeneus_spilurus,Parma_unifasciata,Paracaesio_xanthura,Rhabdosargus_sarba,Stegastes_apicalis,Sufflamen_chrysopterum,Stegastes_gascoynei,Scarus_ghobban,Scorpis_lineolata,Siganus_fuscescens,Thalassoma_jansenii,Thalassoma_lunare,Thalassoma_lutescens
BB1_1,0,0,0,0,0,726.8734352,0,0,0,0,0,0,0,0,0,0,60.2543726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22349538,0,124.3125,0,0,0,0,1939.151081,0,0,0,0
BB1_2,0,0,0,0,0,736.4727454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.8460948,0,0,0,0,0,0,0,41.22349538,0,0,0,0,0,0,0,0,604.2094061,0,0,0,0
BB1_3,0,0,22.07401814,0,0,519.838907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.09463033,0,0,0,0,159.8460948,0,86.68606153,0,0,0,0,0,0,0,109.4341265,0,0,0,0,0,0,621.9474515,0,0,0,0
BB1_4,0,0,0,0,0,1129.878047,2846.145103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5444842,0,0,0,0,22.92565874,0,79.47046609,0,0,0,153.5821058,0,41.22349538,0,375.859375,0,0,0,0,77.74343143,0,0,0,0
MU1_1,0,0,0,0,0,43.21519084,978.2881872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.6117203,0,0,0,0,0,194.8056012,0,41.22349538,0,0,0,0,0,0,0,0,0,0,0
MU1_2,0,0,0,0,0,0,1299.898312,0,0,0,0,0,0,0,0,609.6141709,0,0,0,0,0,0,0,0,0,0,22.07401814,0,0,799.230474,0,45.85131748,0,0,0,0,0,41.22349538,0,82.44699075,0,45.5546875,0,0,0,0,0,0,0,0,0
MU1_3,0,0,0,0,0,21.60759542,117.18049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.2734573,0,57.39644795,0,0,159.8460948,0,45.85131748,0,0,0,0,0,82.44699075,0,0,0,346.90625,0,0,0,0,0,0,0,0,0
MU1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.09463033,0,79.47046609,0,0,79.9230474,0,22.92565874,0,0,0,0,0,0,0,82.44699075,0,319.1484375,0,0,0,0,0,0,0,0,0
CO1_1,0,0,0,0,0,21.60759542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0134102,0,79.47046609,0,57.39644795,0,0,0,0,0,0,0,0,41.22349538,0,0,0,0,0,0,0,0,0,351.4253651,0,0,0
CO1_2,0,0,0,0,0,21.60759542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.4629812,0,216.3373801,0,0,0,0,0,0,0,0,0,0,0,0,82.44699075,0,0,0,0,0,0,0,0,0,0,0
CO1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.7249742,0,0,79.9230474,0,86.68606153,0,0,0,0,0,0,0,164.8939815,0,0,0,0,0,0,0,702.8507301,0,0,0
CO1_4,0,0,0,0,0,0,713.3152673,0,0,0,0,0,0,0,0,0,0,909.3401463,0,0,0,0,0,0,0,0,57.39644795,0,57.39644795,0,0,68.77697622,0,0,0,0,0,0,0,123.6704861,0,0,0,0,0,0,0,0,0,25.26174941,0
402_1,25.67031446,0,0,0,0,353.1446544,0,0,0,0,0,0,0,0,0,0,20.57495233,0,0,77.75155659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.1465734,0,0,0,0,0,0,1559.566678,0,0,0,0
402_2,0,0,0,0,0,526.0054177,0,0,251.9339948,0,0,0,0,114.7928959,0,0,0,0,0,0,0,0,0,0,0,0,57.39644795,0,57.39644795,0,0,0,0,0,0,0,0,0,0,494.6819445,0,0,0,0,0,0,169.5759765,0,0,0,281.817531
402_3,0,0,0,0,0,950.7341985,0,0,0,0,0,0,0,174.5769379,0,0,0,0,0,0,0,0,0,0,0,0,139.2545081,0,0,0,0,86.68606153,0,0,0,0,7492.666067,0,0,256.3366842,0,0,0,0,0,0,4308.031038,0,0,25.26174941,310.4537177
402_4,0,0,0,0,0,151.2531679,978.2881872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.2278939,0,0,0,0,0,0,0,0,256.5857092,370.4106697,0,0,577.1289353,0,0,0,0,0,0,2245.876466,0,0,0,166.0887303
SB2_1,0,0,0,0,0,324.1139313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.22205441,0,0,0,0,0,0,0,0,0,0,0,0,288.5644676,0,306.53125,0,0,0,0,247.3194079,0,0,0,28.63618668
SB2_2,0,0,0,0,0,43.21519084,4667.083749,0,0,0,0,0,135.5175864,0,0,0,0,0,0,0,0,0,0,0,0,0,57.39644795,0,0,0,0,22.92565874,0,0,0,0,341.9569918,0,0,453.4584491,0,91.109375,0,0,0,0,3658.840733,0,0,0,0
SB2_3,0,0,0,0,0,0,978.2881872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6456.427244,0,0,0,0,79.47046609,0,0,0,0,45.85131748,0,0,0,1953.593111,6168.460875,0,0,329.787963,0,107.7109375,0,0,0,0,0,0,0,0,0
SB2_4,0,0,0,0,0,648.2278626,1799.824352,0,0,0,0,0,62.80780003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226.66306,22410.02384,0,0,288.5644676,0,142.375,0,0,0,1416.917815,287.3229986,6426.656095,0,0,80.18017025
NW2_1,0,0,0,0,0,0,978.2881872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.07401814,0,231.9817808,0,0,247.3409723,0,0,38.75379948,0,38.75379948,0,0,0,0,25.26174941,0
NW2_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.0208025,0,0,0,0,28.06640625,0,0,0,0,0,0,0,0,0,0,150.4464643,219.950422,0,0,0,0,0,0,329.787963,0,0,0,0,0,0,0,0,0,231.0978487,28.63618668
NW2_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.130589757,0,0,22.07401814,0,381.7636071,39.9615237,0,0,0,0,0,0,272.4668176,0,0,453.4584491,0,0,0,0,0,0,2359.546329,0,0,0,0
NW2_4,0,0,0,22.92565874,0,43.21519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.130589757,0,0,114.7928959,0,0,0,0,0,0,0,0,0,0,0,0,247.3409723,0,0,0,0,0,0,0,0,0,101.0469976,28.63618668
NS3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92565874,0,0,0,0,0,0,0,0,0,0,0,79.47046609,0,0,0,0,288.5644676,0,0,0,0,38.75379948,0,0,0,0,0,108.8163569
NS3_2,0,0,0,0,0,0,0,0,0,0,0,56.25,0,0,0,0,0,0,0,0,28.06640625,0,0,0,0,0,117.18049,0,0,0,0,0,0,0,0,0,0,0,0,132.6661981,0,0,0,0,0,0,0,0,0,50.52349881,57.27237336
NS3_3,0,0,0,0,159.0255006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2691.302181,0,219.8783027,215.1131888,0,0,0,0,38.75379948,0,0,0,0,0,0
NS3_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.18049,449.8840274,0,0,0,127.5208056,0,0,0,0,0,0,0,288.5644676,0,0,0,0,0,0,0,0,0,25.26174941,28.63618668
SS3_1,0,1395.418793,0,0,0,86.43038168,713.3152673,308.3830827,0,0,90.1398365,56.25,0,0,81.70222576,0,0,0,0,0,0,0,0,18.00346056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.64762769,82.44699075,541.7141186,0,0,49.30369646,0,0,0,1043.639288,0,0,137.4525436
SS3_2,0,0,0,0,0,64.82278626,2843.709337,0,0,0,0,0,0,0,189.1080405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076.839066,0,0,0,0,0,752.8526982,0,40.01726672,82.44699075,135.4285296,0,0,0,0,0,7487.886666,1054.276095,0,0,0
SS3_3,25.67031446,0,0,0,0,194.4683588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454.701753,0,0,0,0,0,45.0014333,0,0,0,0,0,0,0,0,4341.121926,0,0,329.787963,672.9661087,0,0,0,0,0,11177.48836,0,0,0,28.63618668
SS3_4,460.8442511,0,0,0,0,129.6455725,0,0,0,0,0,0,0,0,189.1080405,0,0,0,0,0,0,0,0,21.56875544,201.8914864,0,0,0,0,2157.92228,0,22.92565874,0,0,0,0,0,0,186.9515164,247.3409723,0,0,0,0,0,0,10520.61062,0,0,25.26174941,201.6373608
NW3_1,0,0,0,0,0,1294.422541,0,0,0,0,0,0,0,0,495.4763914,0,0,0,0,0,0,0,0,0,2367.427389,229.4213661,0,0,0,0,0,22.92565874,0,0,0,0,2681.35,0,0,659.575926,0,0,0,0,0,0,4119.170153,1145.639083,0,0,0
NW3_2,0,0,0,0,82.59585234,475.3670992,0,0,0,63.76040279,0,0,0,0,0,0,0,0,63.76040279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8783027,371.0114584,0,0,0,0,0,0,169.5759765,0,37.2265625,25.26174941,0
NW3_3,0,91.64753993,0,0,33.28577117,0,2653.87017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.1140455,451.1422854,0,0,0,49.30369646,0,0,0,0,0,205.8360993,0
NW3_4,0,0,0,0,0,0,0,0,0,63.76040279,0,0,0,0,0,0,0,0,0,0,0,0,0,7.130589757,0,0,0,0,0,0,0,0,109.975211,0,0,0,0,0,0,288.5644676,0,0,0,0,0,0,0,0,0,50.52349881,80.18017025
