Code,Abudefduf_bengalensis,Acanthistius_ocellatus,Acanthopagrus_australis,Acanthurus_dussumieri,Achoerodus_viridis,Aetobatus_narinari,Aluterus_monoceros,Anampses_caeruleopunctatus,Aplodactylus_lophodon,Apogon_limenus,Atypichthys_strigatus,Aulostomus_chinensis,Austrolabrus_maculatus,Bodianus_frenchii,Bodianus_perditio,Brachaelurus_waddi,Canthigaster_callisterna,Carcharias_taurus,Centropogon_australis,Centropyge_tibicen,Chaetodon_flavirostris,Chaetodon_guentheri,Chelmonops_truncatus,Choerodon_venustus,Chrysophrys_auratus,Chromis_hypsilepis,Coris_dorsomacula,Coris_picta,Dasyatis_brevicaudata,Dinolestes_lewini,Echeneis_naucrates,Enoplosus_armatus,Epinephelus_daemelii,Epinephelus_fasciatus,Epinephelus_undulatostriatus,Eubalichthys_mosaicus,Eupetrichthys_angustipes,Glaucosoma_scapulare,Goniistius_vestitus,Gymnothorax_prasinus,Gymnothorax_prionodon,Gymnothorax_thyrsoidea,Heniochus_acuminatus,Heterodontus_galeatus,Hypoplectrodes_maccullochi,Kyphosus_sydneyanus,Labroides_dimidiatus,Lethrinus_nebulosus,Lotella_rhacina,Lutjanus_adetii,Lutjanus_fulviflamma,Lutjanus_russellii,Mecaenichthys_immaculatus,Meuschenia_flavolineata,Meuschenia_freycineti,Meuschenia_trachylepis,Morwong_fuscus,Mulloidichthys_vanicolensis,Myliobatis_australis,Nelusetta_ayraud,Nemadactylus_douglasii,Notolabrus_gymnogenis,Ophthalmolepis_lineolata,Orectolobus_halei,Orectolobus_maculatus,Paracaesio_xanthura,Parapercis_ramsayi,Parapercis_stricticeps,Parma_unifasciata,Parupeneus_multifasciatus,Parupeneus_spilurus,Pempheris_affinis,Pempheris_compressa,Pictilabrus_laticlavius,Platax_teira,Plectorhinchus_flavomaculatus,Prionurus_maculatus,Prionurus_microlepidotus,Pseudocaranx_dentex,Pseudolabrus_guentheri,Pseudolabrus_luculentus,Pterocaesio_digramma,Rhabdosargus_sarba,Sarda_australis,Schuettea_scalaripinnis,Scorpaena_cardinalis,Scorpis_lineolata,Seriola_dumerili,Seriola_hippos,Seriola_lalandi,Seriola_rivoliana,Siganus_fuscescens,Stethojulis_interrupta,Sufflamen_chrysopterum,Synodus_jaculum,Thalassoma_lunare,Thalassoma_lutescens,Trachinops_taeniatus,Trachurus_novaezelandiae,Trygonorrhina_fasciata,Upeneichthys_lineatus
JeffreyShoal1_2002,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JeffreyShoal1_2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,1,23,0,0,0
JeffreyShoal1_2005,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JeffreyShoal1_2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JeffreyShoal1_2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JeffreyShoal1_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JeffreyShoal1_2009,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JeffreyShoal1_2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JeffreyShoal1_2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,15,0,0,0
JeffreyShoal1_2013,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,9,0,0,0,3,0,0,3,90,0,1,0,0,0,0,0,0,1,1,0,0,0,0
