Site,Acanthistius ocellatus,Acanthopagrus australis,Achoerodus viridis,Anampses caeruleopunctatus,Anampses neoguinaicus,Apogon limenus,Atractoscion atelodus,Atypichthys strigatus,Austrolabrus maculatus,Bodianus frenchii,Bodianus perditio,Brachaelurus waddi,Canthigaster callisterna,Caranx melampygus,Caranx sexfasciatus,Carcharias taurus,Centropogon australis,Chaetodon flavirostris,Chaetodon guentheri,Chelmonops truncatus,Choerodon venustus,Chrysophrys auratus,Chromis hypsilepis,Chromis weberi,Cirrhilabrus punctatus,Cirrhitichthys aprinus,Coris aygula,Coris dorsomacula,Coris picta,Dasyatis brevicaudata,Dasyatis thetidis,Dicotylichthys punctulatus,Dinolestes lewini,Echeneis naucrates,Enoplosus armatus,Epinephelus cyanopodus,Epinephelus daemelii,Epinephelus fasciatus,Epinephelus undulatostriatus,Eubalichthys mosaicus,Eupetrichthys angustipes,Girella elevata,Glaucosoma scapulare,Gnathanodon speciosus,Goniistius vestitus,Gymnothorax prasinus,Gymnothorax prionodon,Gymnothorax thyrsoidea,Halichoeres nebulosus,Heniochus acuminatus,Hypoplectrodes maccullochi,Kyphosus sydneyanus,Labroides dimidiatus,Lutjanus adetii,Lutjanus fulviflamma,Lutjanus russellii,Mecaenichthys immaculatus,Meuschenia freycineti,Meuschenia scaber,Meuschenia trachylepis,Microcanthus strigatus,Morwong fuscus,Myliobatis australis,Nelusetta ayraud,Nemadactylus douglasii,Notolabrus gymnogenis,Ophthalmolepis lineolata,Orectolobus halei,Orectolobus maculatus,Paracaesio xanthura,Parapercis ramsayi,Parapercis stricticeps,Paraplesiops bleekeri,Parma unifasciata,Parupeneus multifasciatus,Parupeneus spilurus,Pempheris affinis,Pempheris compressa,Plagiotremus tapeinosoma,Pomacentrus coelestis,Prionurus maculatus,Prionurus microlepidotus,Pseudocaranx dentex,Pseudolabrus guentheri,Pseudolabrus luculentus,Pterocaesio digramma,Rachycentron canadum,Rhabdosargus sarba,Sarda australis,Schuettea scalaripinnis,Scorpaena cardinalis,Scorpis lineolata,Seriola dumerili,Seriola hippos,Seriola lalandi,Seriolina nigrofasciata,Seriola rivoliana,Siganus fuscescens,Synodus jaculum,Thalassoma lunare,Thalassoma lutescens,Trachinops taeniatus,Trachurus novaezelandiae,Trachypoma macracanthus,Upeneichthys lineatus,Zanclus cornutus
40AcresN1_2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0
40AcresN1_2005,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40AcresN1_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2010,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,12,0,0,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40AcresN1_2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0
