"Species","sstmean","MaxSizeTL","Diet","Position","Method","Kmax","Kmax_lowq","Kmax_uppq"
"Abudefduf bengalensis",22.8,17,"Plktiv","BtPlDw","Otolth",0.548463851213455,0.496324710547924,0.613096445798874
"Acanthistius ocellatus",22.8,45,"FisCep","BnthAs","Otolth",0.0911311283707619,0.0806845538318157,0.102117132395506
"Acanthopagrus australis",22.8,66,"Omnivr","BnthDw","Otolth",0.0659692734479904,0.0569515815004706,0.0760683435946703
"Acanthurus dussumieri",22.8,54,"HerDet","BtPlDw","Otolth",0.194366037845612,0.177941132336855,0.213313721120358
"Acanthurus nigrofuscus",22.8,21,"HerDet","BtPlDw","Otolth",0.29360955953598,0.262001946568489,0.331161022186279
"Achoerodus viridis",22.8,62,"InvMob","BnthDw","Otolth",0.0849060006439686,0.0778099484741688,0.0930381882935762
"Aetobatus narinari",22.8,230,"InvMob","BtPlDw","Otolth",0.0478921160101891,0.0406064810231328,0.0556363025680184
"Aluterus monoceros",22.8,76.2,"InvMob","PelgAs","Otolth",0.0912527218461037,0.0828887689858675,0.10022752918303
"Anampses caeruleopunctatus",22.8,42,"InvMob","BtPlDw","Otolth",0.118827521800995,0.106710162013769,0.133064512163401
"Anampses neoguinaicus",22.8,20,"InvSes","BtPlDw","Otolth",0.317840784788132,0.282071679830551,0.350720547139645
"Aplodactylus lophodon",22.8,45,"HerMac","BnthDw","Otolth",0.144746586680412,0.129431657493114,0.161358624696732
"Apogon limenus",22.8,14,"Plktiv","BtPlDw","Otolth",0.544700264930725,0.484796278178692,0.611160978674889
"Atractoscion atelodus",22.8,51.5,"FisCep","PelgDw","Otolth",0.170615285634995,0.152679480612278,0.190014839172363
"Atypichthys strigatus",22.8,25,"Plktiv","BtPlDw","Otolth",0.215673834085464,0.191997565329075,0.244158644229174
"Aulostomus chinensis",22.8,80,"FisCep","BtPlDw","Otolth",0.148528844118118,0.125269416719675,0.171407151967287
"Austrolabrus maculatus",22.8,12.6,"InvMob","BtPlDw","Otolth",0.771325260400772,0.686569392681122,0.868828445672989
"Bodianus frenchii",22.8,45,"InvMob","BtPlDw","Otolth",0.114803832024336,0.104795547202229,0.124914538115263
"Bodianus perditio",22.8,80,"InvMob","BtPlDw","Otolth",0.11480787396431,0.10297248326242,0.131183724850416
"Brachaelurus waddi",22.8,122,"InvMob","BnthAs","Otolth",0.0603417288511992,0.0548278037458658,0.0674179438501596
"Caesio caerulaurea",22.8,35,"Plktiv","PelgDw","Otolth",0.120501432567835,0.108072062954307,0.135279413312674
"Canthigaster callisterna",22.8,23,"InvMob","BtPlDw","Otolth",0.255015507340431,0.2256427295506,0.284754551947117
"Caranx melampygus",22.8,117,"FisCep","PelgAs","Otolth",0.10824566707015,0.0982949025928974,0.119197282940149
"Caranx sexfasciatus",22.8,120,"FisCep","PelgAs","Otolth",0.12420516461134,0.11380173265934,0.136344823986292
"Carcharias taurus",22.8,330,"FisCep","BtPlDw","Otolth",0.0330929234623909,0.0287117771804333,0.0379545362666249
"Centropogon australis",22.8,15,"InvMob","BnthAs","Otolth",0.474204987287521,0.422792829573154,0.533125773072243
"Centropyge tibicen",22.8,19,"HerDet","BtPlDw","Otolth",0.374360799789429,0.338404662907124,0.413673914968967
"Chaetodon flavirostris",22.8,20,"Omnivr","BtPlAs","Otolth",0.350358203053474,0.319236099720001,0.386241756379604
"Chaetodon guentheri",22.8,18,"Omnivr","BtPlAs","Otolth",0.398493438959122,0.355173856019974,0.444382376968861
"Chaetodon kleinii",22.8,15,"Omnivr","BtPlAs","Otolth",0.510609835386276,0.458754055202007,0.582424253225327
"Chelmonops truncatus",22.8,22,"Omnivr","BtPlAs","Otolth",0.349242195487022,0.314928472042084,0.386601604521275
"Choerodon cephalotes",22.8,38,"InvMob","BtPlAs","Otolth",0.125353664159775,0.109815910458565,0.144462138414383
"Choerodon venustus",22.8,65,"InvMob","BtPlAs","Otolth",0.059143740683794,0.0544127123430371,0.0648664142936468
"Chromis hypsilepis",22.8,16,"Plktiv","BtPlDw","Otolth",0.504967629909515,0.451558791100979,0.565983414649963
"Chromis weberi",22.8,13.5,"Plktiv","BtPlDw","Otolth",0.560568064451218,0.498626574873924,0.626437142491341
"Chrysophrys auratus",22.8,130,"InvMob","BtPlAs","Otolth",0.0562130510807037,0.0491498848423362,0.063568864017725
"Cirrhilabrus punctatus",22.8,13,"InvMob","BtPlDw","Otolth",0.65854600071907,0.579820975661278,0.727373495697975
"Cirrhitichthys aprinus",22.8,12.5,"InvMob","BtPlDw","Otolth",0.771325260400772,0.686569392681122,0.868828445672989
"Coris aygula",22.8,120,"InvMob","BtPlDw","Otolth",0.0861995704472065,0.0775763187557459,0.095288323238492
"Coris dorsomacula",22.8,38,"InvMob","BtPlDw","Otolth",0.1290492862463,0.113938936963677,0.148017875850201
"Coris picta",22.8,25,"InvMob","BtPlDw","Otolth",0.205707289278507,0.183316431939602,0.22987250238657
"Dasyatis brevicaudata",22.8,430,"InvMob","BnthAs","Otolth",0.0275396071374416,0.0232747518457472,0.032407371327281
"Dasyatis thetidis",22.8,260,"InvMob","BnthAs","Otolth",0.0389347709715366,0.0332576232030988,0.0454737665131688
"Dicotylichthys punctulatus",22.8,40,"InvMob","BtPlDw","Otolth",0.147154323756695,0.126931507140398,0.170417677611113
"Dinolestes lewini",22.8,84,"FisCep","BtPlDw","Otolth",0.139629006385803,0.115614280104637,0.165718104690313
"Echeneis naucrates",22.8,110,"InvMob","BtPlDw","Otolth",0.0878142006695271,0.0781296733766794,0.0983653999865055
