"trait","axis","test","stat","value","p.value"
"Size","PC1","Kruskal-Wallis","eta2",0.083,0.0137
"Size","PC2","Kruskal-Wallis","eta2",0.883,0
"Size","PC3","Kruskal-Wallis","eta2",0.011,0.283
"Agg","PC1","Kruskal-Wallis","eta2",0.752,0
"Agg","PC2","Kruskal-Wallis","eta2",-0.008,0.5702
"Agg","PC3","Kruskal-Wallis","eta2",0.044,0.028
"Position","PC1","Kruskal-Wallis","eta2",0.306,0
"Position","PC2","Kruskal-Wallis","eta2",0.076,0.0045
"Position","PC3","Kruskal-Wallis","eta2",-0.015,0.896
"Diet","PC1","Kruskal-Wallis","eta2",0.309,0
"Diet","PC2","Kruskal-Wallis","eta2",0.551,0
"Diet","PC3","Kruskal-Wallis","eta2",0.756,0
"Kmax","PC1","Linear Model","r2",0.017,0.1627
"Kmax","PC2","Linear Model","r2",0.695,0
"Kmax","PC3","Linear Model","r2",0.017,0.1636
