Code,Site,Year,Habitat,sp_richn,fric,fdis,fide_PC1,fide_PC2,fide_PC3
JeffreyShoal_2002,JeffreyShoal,2002,kelp,24,0.681283168,0.719010693,0.009797458,-0.021744025,0.009440486
JeffreyShoal_2003,JeffreyShoal,2003,kelp,17,0.474788431,0.642438339,0.05260205,0.004110456,0.00840136
JeffreyShoal_2004,JeffreyShoal,2004,kelp,19,0.686672164,0.714647926,-0.008837213,-0.011902207,0.02076167
JeffreyShoal_2005,JeffreyShoal,2005,kelp,16,0.36038388,0.697618834,-0.051393686,0.03048329,-0.014847433
JeffreyShoal_2006,JeffreyShoal,2006,kelp,17,0.557032147,0.660860363,0.05381716,-0.086065248,-0.000709886
JeffreyShoal_2007,JeffreyShoal,2007,kelp,19,0.578714208,0.666920007,0.050165876,-0.040787695,0.041168915
JeffreyShoal_2008,JeffreyShoal,2008,kelp,20,0.464101616,0.650976649,0.018404942,-0.046906378,0.030029844
JeffreyShoal_2009,JeffreyShoal,2009,kelp,17,0.441283774,0.650902217,0.076709671,-0.068868743,0.034089946
JeffreyShoal_2010,JeffreyShoal,2010,kelp,30,0.546075981,0.653094848,0.023710456,-0.011838669,0.011401369
JeffreyShoal_2011,JeffreyShoal,2011,kelp,18,0.565397317,0.631050189,0.086114054,-0.031662971,-0.008191153
JeffreyShoal_2013,JeffreyShoal,2013,kelp,27,0.709365129,0.725613882,0.009521024,-0.038976076,0.004884922
JeffreyShoal_2015,JeffreyShoal,2015,kelp,30,0.727357224,0.692747081,0.019974883,-0.000480089,0.003809075
JeffreyShoal_2018,JeffreyShoal,2018,kelp,30,0.584483615,0.628750697,0.052213046,-0.035363523,0.032963621
Sawtell_2002,Sawtell,2002,kelp,18,0.559101751,0.69184702,0.063976341,-0.018871941,-0.01036979
Sawtell_2003,Sawtell,2003,kelp,16,0.511251889,0.701313449,0.037164355,-0.040575852,0.003390261
Sawtell_2004,Sawtell,2004,kelp,25,0.601680864,0.691344098,0.004546302,-0.042797242,-0.000950832
Sawtell_2005,Sawtell,2005,kelp,15,0.50553838,0.731712767,0.041691516,-0.009846287,-0.028830286
Sawtell_2006,Sawtell,2006,kelp,24,0.663130414,0.721089033,-0.011708284,-0.00525839,0.018697172
Sawtell_2007,Sawtell,2007,kelp,25,0.623863442,0.693412659,-0.018562434,-0.024963532,0.012944537
Sawtell_2008,Sawtell,2008,kelp,25,0.647342941,0.714203282,0.001746071,-0.016997026,1.97E-06
Sawtell_2009,Sawtell,2009,kelp,17,0.46249738,0.697994317,0.027862509,-0.020919871,0.013753735
Sawtell_2010,Sawtell,2010,kelp,25,0.641776776,0.691099795,0.051177589,-0.041202985,-0.003173666
Sawtell_2011,Sawtell,2011,kelp,24,0.573691723,0.746178065,0.023401552,0.02122625,0.005869162
Sawtell_2013,Sawtell,2013,kelp,23,0.646776013,0.689981169,0.059946184,-0.029927394,0.0032439
Sawtell_2014,Sawtell,2014,kelp,28,0.61313116,0.697235539,-0.005453055,-0.074861946,0.009463513
Sawtell_2015,Sawtell,2015,kelp,22,0.449121583,0.654574176,0.028291068,-0.01900952,0.033856871
Sawtell_2018,Sawtell,2018,kelp,26,0.600324035,0.7040387,0.036649361,-0.029339669,-0.009776504
SplitBommieN_2002,SplitBommieN,2002,kelp,13,0.353774014,0.688586111,-0.001338165,-0.013208767,0.000117055
SplitBommieN_2003,SplitBommieN,2003,kelp,25,0.479364871,0.631956628,0.05998368,-0.003915865,0.021542724
SplitBommieN_2004,SplitBommieN,2004,kelp,17,0.558652464,0.675162844,0.05382111,-0.027954129,0.007835304
SplitBommieN_2005,SplitBommieN,2005,kelp,22,0.616859406,0.732456196,-0.015433184,0.050439562,-0.002662731
SplitBommieN_2006,SplitBommieN,2006,kelp,16,0.403729641,0.706223431,0.082864969,0.009557422,-0.03546344
SplitBommieN_2007,SplitBommieN,2007,kelp,28,0.579364139,0.70379497,-0.019439611,-0.02162246,-0.013124969
SplitBommieN_2008,SplitBommieN,2008,kelp,21,0.630298536,0.633898528,0.085591537,-0.028238834,0.004308861
SplitBommieN_2009,SplitBommieN,2009,kelp,24,0.547826763,0.696969334,0.014232991,-0.040888158,-0.003575841
SplitBommieN_2010,SplitBommieN,2010,kelp,27,0.683452472,0.706379035,-0.003151013,-0.045677931,0.023252516
SplitBommieN_2011,SplitBommieN,2011,kelp,26,0.657623441,0.677032885,0.011229191,-0.009074364,0.023336392
SplitBommieN_2013,SplitBommieN,2013,kelp,25,0.663838216,0.685157729,0.029083268,-0.013942143,0.024516993
SplitBommieN_2014,SplitBommieN,2014,kelp,27,0.673788346,0.711242066,0.004572107,-0.037459628,0.0221433
SplitBommieN_2015,SplitBommieN,2015,kelp,27,0.434286299,0.678389439,0.010357793,-0.032525913,0.014288102
SplitBommieN_2018,SplitBommieN,2018,kelp,31,0.596922279,0.618475596,0.041517171,-0.000624602,0.044839152
SplitBommieW_2002,SplitBommieW,2002,kelp,17,0.527758703,0.671211153,0.101980775,-0.020913178,-0.004157754
SplitBommieW_2003,SplitBommieW,2003,kelp,14,0.33686094,0.575311592,0.124266128,-0.020565239,-0.018118674
SplitBommieW_2004,SplitBommieW,2004,kelp,17,0.55555838,0.682653036,0.068048198,0.007195324,0.004479904
SplitBommieW_2005,SplitBommieW,2005,kelp,20,0.546852379,0.664137667,0.040876061,-0.041650319,0.022552567
SplitBommieW_2006,SplitBommieW,2006,kelp,21,0.668177807,0.731854723,0.052640256,0.017623002,0.02090613
SplitBommieW_2007,SplitBommieW,2007,kelp,13,0.398017407,0.714477864,0.031365277,-0.048690786,0.006629157
SplitBommieW_2008,SplitBommieW,2008,kelp,21,0.503842021,0.627354792,0.076954522,-0.08655675,-0.007410684
SplitBommieW_2009,SplitBommieW,2009,kelp,20,0.529603742,0.746539159,0.016310063,-0.006102895,-0.011266929
SplitBommieW_2010,SplitBommieW,2010,kelp,22,0.437462911,0.672751411,0.026188968,-0.025569944,0.028210718
SplitBommieW_2011,SplitBommieW,2011,kelp,16,0.47422265,0.625905266,0.0820301,0.005463648,0.008072863
SplitBommieW_2013,SplitBommieW,2013,kelp,28,0.650473786,0.670802849,0.060631697,0.000402617,0.021179073
SplitBommieW_2014,SplitBommieW,2014,kelp,24,0.466066825,0.624518483,0.056109631,-0.028172518,0.002911696
SplitBommieW_2015,SplitBommieW,2015,kelp,23,0.501921796,0.642172686,0.069813726,-0.037862115,0.003914688
SplitBommieW_2018,SplitBommieW,2018,kelp,27,0.721159451,0.658316599,0.049439678,0.038983835,0.036911754
Whitmore_2002,Whitmore,2002,kelp,19,0.563772346,0.726716097,0.004502049,-0.01602967,-0.002025594
Whitmore_2003,Whitmore,2003,kelp,16,0.467580099,0.696641897,0.021589529,-0.039322452,-0.002060944
Whitmore_2004,Whitmore,2004,kelp,21,0.555374749,0.694036322,0.033627342,-0.029234997,0.022128765
Whitmore_2005,Whitmore,2005,kelp,20,0.53893148,0.695031804,0.014457928,-0.035982207,0.000568849
Whitmore_2006,Whitmore,2006,kelp,17,0.571438966,0.717586964,0.013923733,-0.010157501,-0.008946558
Whitmore_2007,Whitmore,2007,kelp,15,0.454960247,0.709313906,-0.040116091,-0.020343494,-0.001896117
Whitmore_2008,Whitmore,2008,kelp,23,0.567271219,0.6856275,-0.036657355,-0.042883153,0.019402746
Whitmore_2009,Whitmore,2009,kelp,17,0.546114611,0.738630125,-0.017435548,0.006680086,-0.02871959
Whitmore_2010,Whitmore,2010,kelp,23,0.457969707,0.628769459,0.028109305,-0.053492715,0.036653165
Whitmore_2011,Whitmore,2011,kelp,20,0.640348473,0.733941922,0.000128934,-0.01039657,-0.002159346
Whitmore_2013,Whitmore,2013,kelp,28,0.709415302,0.718169917,-0.000941585,-0.022127569,0.031070125
Whitmore_2014,Whitmore,2014,kelp,25,0.534348202,0.686833802,0.011532553,-0.050376741,0.035395206
Whitmore_2015,Whitmore,2015,kelp,31,0.605366461,0.67076355,-0.004119926,-0.019118619,0.017285288
Whitmore_2018,Whitmore,2018,kelp,25,0.59187799,0.687480977,-0.029253093,0.003038327,0.004410369
40AcresN_2002,40AcresN,2002,no_kelp,23,0.51069716,0.646074975,0.041690214,-0.048330979,0.009892074
40AcresN_2003,40AcresN,2003,no_kelp,18,0.465394934,0.623969787,0.082394535,0.017084552,0.015349649
40AcresN_2004,40AcresN,2004,no_kelp,21,0.727111661,0.724960247,0.044424525,0.008372168,0.00306706
40AcresN_2005,40AcresN,2005,no_kelp,23,0.66669264,0.71010992,0.019336258,-0.005411913,-0.022943849
40AcresN_2006,40AcresN,2006,no_kelp,20,0.614282005,0.725963118,0.026503055,-0.02565611,0.027782643
40AcresN_2007,40AcresN,2007,no_kelp,28,0.691155569,0.679868051,0.032718801,-0.03171455,0.015529533
40AcresN_2008,40AcresN,2008,no_kelp,31,0.621848585,0.681826901,0.002646745,-0.01032464,0.014309122
40AcresN_2009,40AcresN,2009,no_kelp,23,0.522732039,0.657515538,0.041677611,-0.075379135,0.002518857
40AcresN_2010,40AcresN,2010,no_kelp,30,0.693754763,0.737799889,-0.056981083,-0.01879502,0.005209695
40AcresN_2011,40AcresN,2011,no_kelp,28,0.6240717,0.719379242,-0.008607536,-0.033469688,0.011096671
40AcresN_2013,40AcresN,2013,no_kelp,29,0.638784015,0.719689617,-0.01782262,-0.045406514,-0.002707844
40AcresN_2014,40AcresN,2014,no_kelp,26,0.626601629,0.733401859,-0.058770075,-0.04791796,0.012701541
40AcresN_2015,40AcresN,2015,no_kelp,33,0.654498375,0.740130506,-0.017081296,-0.012239652,-0.015438897
40AcresN_2018,40AcresN,2018,no_kelp,35,0.752360657,0.733044119,0.005658591,-0.004703941,0.008904193
40AcresW_2002,40AcresW,2002,no_kelp,22,0.459129437,0.610218541,0.078941234,-0.036736482,0.00596952
40AcresW_2003,40AcresW,2003,no_kelp,21,0.434882862,0.616813895,0.076445292,-0.059823594,0.004229178
40AcresW_2004,40AcresW,2004,no_kelp,19,0.59632899,0.658869464,0.085332333,-0.005677249,0.012178117
40AcresW_2005,40AcresW,2005,no_kelp,21,0.679207677,0.756622607,-0.022872745,-0.009495692,0.005305275
40AcresW_2006,40AcresW,2006,no_kelp,23,0.569409924,0.623172085,0.060065874,-0.057932828,0.008876003
40AcresW_2007,40AcresW,2007,no_kelp,16,0.527537828,0.646155416,0.096871937,-0.081349555,0.037743125
40AcresW_2008,40AcresW,2008,no_kelp,34,0.725194841,0.737653475,-0.017034713,-0.031644404,0.021656102
40AcresW_2009,40AcresW,2009,no_kelp,27,0.603258515,0.697695871,0.008303227,-0.080813147,0.032089962
40AcresW_2010,40AcresW,2010,no_kelp,30,0.645919419,0.750071885,-0.0007224,-0.04816133,-0.008376218
40AcresW_2011,40AcresW,2011,no_kelp,35,0.715916844,0.685671749,0.024505245,-0.034594373,0.031598847
40AcresW_2013,40AcresW,2013,no_kelp,25,0.586676198,0.629754526,0.067949056,-0.070127205,0.023919787
40AcresW_2014,40AcresW,2014,no_kelp,30,0.710283431,0.719571528,0.026385041,-0.003648638,0.00491291
40AcresW_2015,40AcresW,2015,no_kelp,40,0.847869403,0.745696858,0.005768131,0.012149758,0.005594312
40AcresW_2018,40AcresW,2018,no_kelp,32,0.707067086,0.708370656,0.000839647,0.008681637,0.038641523
Bullocky_2002,Bullocky,2002,no_kelp,30,0.543889604,0.686559913,-0.004249742,0.026291122,-0.003245933
Bullocky_2003,Bullocky,2003,no_kelp,23,0.445425611,0.619067239,0.065974386,-0.009942896,-0.011871191
Bullocky_2004,Bullocky,2004,no_kelp,18,0.435231771,0.6965029,-0.000420114,-0.031647163,0.005583036
Bullocky_2005,Bullocky,2005,no_kelp,21,0.523391511,0.700793261,0.019302598,-0.019705348,0.011853235
Bullocky_2006,Bullocky,2006,no_kelp,24,0.565653566,0.674592495,0.005045202,-0.003786543,0.01878613
Bullocky_2007,Bullocky,2007,no_kelp,20,0.571999477,0.691896376,-0.007590891,-0.015862704,0.026356361
Bullocky_2008,Bullocky,2008,no_kelp,28,0.606048366,0.687139988,0.004670163,-0.025104633,0.006660558
Bullocky_2009,Bullocky,2009,no_kelp,16,0.412228529,0.673614223,0.00610208,-0.034036279,0.007862667
Bullocky_2010,Bullocky,2010,no_kelp,28,0.510791068,0.648766159,-0.001869122,-0.033353406,0.01074855
Bullocky_2011,Bullocky,2011,no_kelp,29,0.539120035,0.63764022,0.00474263,-0.012127016,0.009763149
Bullocky_2013,Bullocky,2013,no_kelp,29,0.593471375,0.672463336,0.014918699,-0.01686201,0.013753956
