Species,sstmean,MaxSizeTL,Diet,Position,Method
Abudefduf bengalensis,22.8,17,Plktiv,BtPlDw,Otolth
Acanthistius ocellatus,22.8,45,FisCep,BnthAs,Otolth
Acanthopagrus australis,22.8,66,Omnivr,BnthDw,Otolth
Acanthurus dussumieri,22.8,54,HerDet,BtPlDw,Otolth
Acanthurus nigrofuscus,22.8,21,HerDet,BtPlDw,Otolth
Achoerodus viridis,22.8,100,InvMob,BnthDw,Otolth
Aetobatus narinari,22.8,230,InvMob,BtPlDw,Otolth
Aluterus monoceros,22.8,76.2,InvMob,PelgAs,Otolth
Anampses caeruleopunctatus,22.8,42,InvMob,BtPlDw,Otolth
Anampses neoguinaicus,22.8,20,InvSes,BtPlDw,Otolth
Aplodactylus lophodon,22.8,45,HerMac,BnthDw,Otolth
Apogon limenus,22.8,14,Plktiv,BtPlDw,Otolth
Atractoscion atelodus,22.8,51.5,FisCep,PelgDw,Otolth
Atypichthys strigatus,22.8,25,Plktiv,BtPlDw,Otolth
Aulostomus chinensis,22.8,80,FisCep,BtPlDw,Otolth
Austrolabrus maculatus,22.8,12.6,InvMob,BtPlDw,Otolth
Bodianus frenchii,22.8,45,InvMob,BtPlDw,Otolth
Bodianus perditio,22.8,80,InvMob,BtPlDw,Otolth
Brachaelurus waddi,22.8,122,InvMob,BnthAs,Otolth
Caesio caerulaurea,22.8,35,Plktiv,PelgDw,Otolth
Canthigaster callisterna,22.8,23,InvMob,BtPlDw,Otolth
Caranx melampygus,22.8,117,FisCep,PelgAs,Otolth
Caranx sexfasciatus,22.8,120,FisCep,PelgAs,Otolth
Carcharias taurus,22.8,330,FisCep,BtPlDw,Otolth
Centropogon australis,22.8,15,InvMob,BnthAs,Otolth
Centropyge tibicen,22.8,19,HerDet,BtPlDw,Otolth
Chaetodon flavirostris,22.8,20,Omnivr,BtPlAs,Otolth
Chaetodon guentheri,22.8,18,Omnivr,BtPlAs,Otolth
Chaetodon kleinii,22.8,15,Omnivr,BtPlAs,Otolth
Chelmonops truncatus,22.8,22,Omnivr,BtPlAs,Otolth
Choerodon cephalotes,22.8,38,InvMob,BtPlAs,Otolth
Choerodon venustus,22.8,65,InvMob,BtPlAs,Otolth
Chromis hypsilepis,22.8,16,Plktiv,BtPlDw,Otolth
Chromis weberi,22.8,13.5,Plktiv,BtPlDw,Otolth
Chrysophrys auratus,22.8,130,InvMob,BtPlAs,Otolth
Cirrhilabrus punctatus,22.8,13,InvMob,BtPlDw,Otolth
Cirrhitichthys aprinus,22.8,12.5,InvMob,BtPlDw,Otolth
Coris aygula,22.8,120,InvMob,BtPlDw,Otolth
Coris dorsomacula,22.8,38,InvMob,BtPlDw,Otolth
Coris picta,22.8,25,InvMob,BtPlDw,Otolth
Dasyatis brevicaudata,22.8,430,InvMob,BnthAs,Otolth
Dasyatis thetidis,22.8,260,InvMob,BnthAs,Otolth
Dicotylichthys punctulatus,22.8,40,InvMob,BtPlDw,Otolth
Dinolestes lewini,22.8,84,FisCep,BtPlDw,Otolth
Echeneis naucrates,22.8,110,InvMob,BtPlDw,Otolth
Enoplosus armatus,22.8,50,InvMob,BtPlDw,Otolth
Epinephelus cyanopodus,22.8,122,FisCep,BtPlDw,Otolth
Epinephelus daemelii,22.8,200,FisCep,BtPlDw,Otolth
Epinephelus fasciatus,22.8,40,FisCep,BtPlDw,Otolth
Epinephelus undulatostriatus,22.8,61,FisCep,BtPlDw,Otolth
Eubalichthys mosaicus,22.8,60,Omnivr,BtPlAs,Otolth
Eupetrichthys angustipes,22.8,12.4,InvMob,BtPlDw,Otolth
Girella elevata,22.8,62,HerMac,BtPlDw,Otolth
Glaucosoma scapulare,22.8,70,FisCep,BtPlDw,Otolth
Gnathanodon speciosus,22.8,120,FisCep,PelgAs,Otolth
Goniistius vestitus,22.8,35,InvMob,BtPlAs,Otolth
Gymnothorax prasinus,22.8,91.5,FisCep,BnthAs,Otolth
Gymnothorax prionodon,22.8,150,FisCep,BnthAs,Otolth
Gymnothorax thyrsoidea,22.8,73.2,FisCep,BnthAs,Otolth
Halichoeres hortulanus,22.8,27,InvMob,BtPlDw,Otolth
Halichoeres margaritaceus,22.8,12.5,InvMob,BtPlDw,Otolth
Halichoeres nebulosus,22.8,12,InvMob,BtPlDw,Otolth
Heniochus acuminatus,22.8,25,Plktiv,BtPlAs,Otolth
Heterodontus galeatus,22.8,152,InvMob,BnthAs,Otolth
Hologymnosus annulatus,22.8,40,FisCep,BtPlAs,Otolth
Hypoplectrodes maccullochi,22.8,45,InvMob,BnthAs,Otolth
Kyphosus sydneyanus,22.8,80,HerMac,PelgDw,Otolth
Labroides dimidiatus,22.8,14,InvMob,BtPlAs,Otolth
Leptojulis cyanopleura,22.8,13,Plktiv,BtPlDw,Otolth
Lethrinus nebulosus,22.8,87,InvMob,BnthAs,Otolth
Lotella rhacina,22.8,50,FisCep,BnthAs,Otolth
Lutjanus adetii,22.8,50,InvMob,BtPlDw,Otolth
Lutjanus fulviflamma,22.8,35,InvMob,BtPlDw,Otolth
Lutjanus russellii,22.8,50,FisCep,BtPlDw,Otolth
Mecaenichthys immaculatus,22.8,12,Plktiv,BnthAs,Otolth
Meuschenia flavolineata,22.8,30,Omnivr,BtPlDw,Otolth
Meuschenia freycineti,22.8,60,Omnivr,BtPlDw,Otolth
Meuschenia scaber,22.8,31,Omnivr,BtPlDw,Otolth
Meuschenia trachylepis,22.8,40,Omnivr,BtPlDw,Otolth
Microcanthus strigatus,22.8,16,Omnivr,BtPlDw,Otolth
Morwong fuscus,22.8,65,InvMob,BtPlAs,Otolth
Mulloidichthys vanicolensis,22.8,38,InvMob,BtPlDw,Otolth
Myliobatis australis,22.8,120,InvMob,BnthAs,Otolth
Naso unicornis,22.8,70,HerMac,BtPlDw,Otolth
Nelusetta ayraud,22.8,100,FisCep,BtPlDw,Otolth
Nemadactylus douglasii,22.8,81,InvMob,BtPlDw,Otolth
Notolabrus gymnogenis,22.8,23,InvMob,BtPlDw,Otolth
Ophthalmolepis lineolata,22.8,40,InvMob,BtPlDw,Otolth
Orectolobus halei,22.8,256,FisCep,BnthAs,Otolth
Orectolobus maculatus,22.8,320,FisCep,BnthAs,Otolth
Paracaesio xanthura,22.8,50,Plktiv,BtPlAs,Otolth
Paracanthurus hepatus,22.8,31,Plktiv,BnthDw,Otolth
Parapercis ramsayi,22.8,20,InvMob,BnthDw,Otolth
Parapercis stricticeps,22.8,18,InvMob,BnthDw,Otolth
Paraplesiops bleekeri,22.8,40,InvMob,BnthDw,Otolth
Parma oligolepis,22.8,16.5,HerMac,BnthDw,Otolth
Parma unifasciata,22.8,18,HerMac,BnthDw,Otolth
Parupeneus multifasciatus,22.8,35,InvMob,BnthDw,Otolth
Parupeneus spilurus,22.8,50,InvMob,BnthDw,Otolth
Pempheris affinis,22.8,15,Plktiv,BtPlDw,Otolth
Pempheris compressa,22.8,20,Plktiv,BtPlDw,Otolth
Pictilabrus laticlavius,22.8,23,InvMob,BtPlDw,Otolth
Plagiotremus tapeinosoma,22.8,14,FisCep,BnthAs,Otolth
Platax teira,22.8,70,HerMac,BnthDw,Otolth
Plectorhinchus flavomaculatus,22.8,60,FisCep,BtPlDw,Otolth
Pomacentrus coelestis,22.8,9,Plktiv,BnthDw,Otolth
Prionurus maculatus,22.8,45,HerDet,BtPlDw,Otolth
Prionurus microlepidotus,22.8,70,HerDet,BtPlDw,Otolth
Pseudocaranx dentex,22.8,122,FisCep,BtPlAs,Otolth
Pseudolabrus guentheri,22.8,18,InvMob,BtPlDw,Otolth
Pseudolabrus luculentus,22.8,17,InvMob,BtPlDw,Otolth
Pterocaesio digramma,22.8,30,Plktiv,PelgDw,Otolth
Rachycentron canadum,22.8,200,FisCep,PelgAs,Otolth
Rhabdosargus sarba,22.8,80,InvMob,BnthAs,Otolth
Sarda australis,22.8,180,FisCep,PelgAs,Otolth
Scarus ghobban,22.8,75,HerDet,BtPlDw,Otolth
Schuettea scalaripinnis,22.8,20,Plktiv,BtPlDw,Otolth
Scorpaena cardinalis,22.8,18,FisCep,BnthDw,Otolth
Scorpis lineolata,22.8,30,Plktiv,PelgDw,Otolth
Seriola dumerili,22.8,190,FisCep,PelgAs,Otolth
Seriola hippos,22.8,150,FisCep,PelgAs,Otolth
Seriola lalandi,22.8,250,FisCep,PelgAs,Otolth
Seriola rivoliana,22.8,160,FisCep,PelgAs,Otolth
Seriolina nigrofasciata,22.8,70,FisCep,PelgAs,Otolth
Siganus fuscescens,22.8,40,HerMac,BtPlDw,Otolth
Stegastes apicalis,22.8,15,HerDet,BnthDw,Otolth
Stegastes gascoynei,22.8,15,HerDet,BnthDw,Otolth
Stethojulis interrupta,22.8,13,InvMob,BnthDw,Otolth
Sufflamen chrysopterum,22.8,30,InvMob,BtPlDw,Otolth
Synodus jaculum,22.8,20,InvMob,BnthAs,Otolth
Thalassoma jansenii,22.8,20,InvMob,BtPlDw,Otolth
Thalassoma lunare,22.8,45,InvMob,BtPlDw,Otolth
Thalassoma lutescens,22.8,30,InvMob,BtPlDw,Otolth
Trachinops taeniatus,22.8,10,Plktiv,BtPlAs,Otolth
Trachurus novaezelandiae,22.8,20,Plktiv,BtPlAs,Otolth
Trachypoma macracanthus,22.8,22,FisCep,BnthAs,Otolth
Trygonorrhina fasciata,22.8,120,InvMob,BnthAs,Otolth
Upeneichthys lineatus,22.8,40,InvMob,BtPlAs,Otolth
Zanclus cornutus,22.8,23,InvSes,BtPlDw,Otolth
